# Band 1B   Etalon 1A   Slice 15
# Distortion map version 06.04.00 - date 2018-10-16
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness
0.0  329  13  12.5692822235  1.13594706393  -0.00355600025517
0.0  329  21  21.477785007  1.10992891028  0.138479625846
0.0  329  30  30.410121365  1.10961985196  0.200797262559
0.0  329  39  39.3611564593  1.22039474567  0.164963556964
0.0  329  48  48.3815544819  1.13156119331  0.205366124293
0.0  329  57  57.401419149  1.182529964  0.13282824187
0.0  330  67  66.5494542954  1.1706780322  0.00193951945719
0.0  330  76  75.6688079346  1.25520581174  -0.0145195957696
0.0  330  85  84.9092253406  1.41648738154  0.0122530663421
0.0  330  94  94.260157841  1.3433413497  0.104669219366
0.0  330  104  103.517376869  1.1852709664  0.0366555783802
0.0  330  113  112.854206153  1.42132757624  -0.0181764571303
0.0  330  122  122.379054831  1.24814496351  0.147422434455
0.0  330  132  131.768782361  1.4362021791  0.00299987805548
0.0  331  141  141.47144552  1.17164743189  0.131688649811
0.0  331  151  151.076843726  1.48256032309  0.0993755059502
0.0  331  161  160.654567446  1.27879210078  -0.0166060256028
0.0  331  170  170.459446418  1.21590067324  0.110802996614
0.0  331  180  180.253701624  1.40363181706  0.126458845874
0.0  331  190  190.023769916  1.53208270741  0.0181974694838
0.0  331  200  199.877576189  1.50379985695  -0.00963084246903
0.0  331  210  209.833032196  1.50774427419  -0.0231663960793
0.0  331  220  219.843393557  1.49625698892  -0.0369813885171
0.0  331  230  229.935220421  1.55510999226  0.0179549366414
0.0  332  240  240.179727962  1.65758234593  0.0822871167497
0.0  332  250  250.43063984  1.29531584832  0.118033788366
0.0  332  261  260.597665016  1.30039542986  -0.0162346845209
0.0  332  271  270.962177055  1.5684182561  0.0493051697601
0.0  332  281  281.401863106  1.32808354877  0.12611194048
0.0  332  292  291.78023895  1.52008074036  0.0150187258951
0.0  332  302  302.390328434  1.3633247778  0.105775280132
0.0  332  313  312.920322054  1.58551551524  0.0032615432768
0.0  332  324  323.545627855  1.3297689382  -0.0194289526818
0.0  332  334  334.342533916  1.46635739031  0.0576212645741
0.0  332  345  345.114783493  1.62541776406  0.0310715785627
0.0  332  356  355.925754011  1.65492351225  -0.0117577170843
0.0  332  367  366.831369713  1.60102165527  -0.0466182621316
0.0  332  378  377.835400308  1.60662381434  -0.0246177316106
