# Band 1B   Etalon 1B   Slice 4
# Distortion map version 06.04.00 - date 2018-10-16
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness
0.0  351  5  5.52815741811  9.05432465385  0.290262748505
0.0  351  13  13.1034350376  0.104914685515  0.111897138209
0.0  352  21  20.9182272892  0.109522872841  0.0642140567649
0.0  352  29  28.7579487023  9.64132966384  0.0299307135728
0.0  352  37  36.5914237221  9.25243209807  0.0136741807676
0.0  352  44  44.737893389  0.287239724413  0.200185925977
0.0  352  52  52.6025268185  0.321458361424  0.17457428397
0.0  352  60  60.7372455467  0.374188014045  0.143789579703
0.0  352  68  68.4578758835  18.100934002  0.124493883974
0.0  352  76  76.4546846631  18.9759042691  0.120986434112
0.0  352  84  84.314350745  0.44458291114  0.116222144663
0.0  353  92  92.1216963556  0.476216464766  0.108367934581
0.0  353  101  100.168593787  16.8381141596  -0.021305073935
0.0  353  109  108.263048625  15.5821880622  0.0236891891448
0.0  353  117  116.718442642  0.190371012159  0.0976341658794
0.0  353  125  125.200119529  0.319444152609  0.180959327576
0.0  353  133  133.644739033  0.310796231086  0.180033067923
0.0  353  142  142.059948361  11.9555505255  0.143364324029
0.0  353  150  150.671926722  0.272314997985  0.214191372949
0.0  353  159  159.124250754  11.2733665665  0.138473157704
0.0  353  167  167.863451914  11.675551798  0.211939434487
0.0  354  176  176.403999436  0.172833104361  0.18174402368
0.0  354  185  184.838349919  11.0350734112  0.0428461415372
0.0  354  193  193.652146713  0.280566034194  0.209045422968
0.0  354  202  202.276213079  0.19555995005  0.16639690095
0.0  354  211  210.62592617  12.0206871904  0.0365441927103
0.0  354  219  219.429882812  13.4957117355  0.189862156533
0.0  354  228  227.931426098  12.5461943986  0.130433441955
0.0  354  237  236.185554956  11.9584033448  -0.0284554688273
0.0  354  245  245.369930303  0.292362320983  0.213681560702
0.0  354  254  254.182888751  0.155064658553  0.181416938103
0.0  354  263  263.084861993  9.38084102634  0.165159645159
0.0  354  272  272.141215711  9.00727365178  0.152201199686
0.0  354  281  281.256661091  8.36201242101  0.153482523845
0.0  355  290  290.489144294  8.43345376709  0.183243076754
0.0  355  299  299.799042392  0.340783152028  0.256779444232
0.0  355  309  308.763598856  8.68328376945  0.0334730838346
0.0  355  318  318.081575856  8.67799706153  0.0836327152303
0.0  355  327  327.570853215  10.7556033136  0.168256515648
0.0  355  337  336.586032541  9.52515069915  -0.000367522977915
0.0  355  346  345.938706296  0.122460795292  0.0563479680923
0.0  355  355  355.453281767  0.44102458686  0.194921779277
