# Band 1C   Etalon 1A   Slice 19
# Distortion map version 06.04.00 - date 2018-10-16
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness
0.0  146  6  6.11036552097  1.49144705778  0.0610518612773
0.0  146  16  16.4895878542  1.19061569903  0.0877699228051
0.0  146  27  26.9155763944  1.55594713213  -0.00861573266198
0.0  147  37  37.4755759707  1.24109541107  0.0429856321348
0.0  147  48  48.0783411758  1.54878315925  0.0282848387809
0.0  147  59  58.6850024285  1.41909342934  -0.10347011713
0.0  147  70  69.5009858088  1.20382638788  -0.0315180113897
0.0  147  80  80.3689305541  1.4248453438  0.075463475677
0.0  147  91  91.2548404283  1.55496021008  0.0203233871202
0.0  147  102  102.241274036  1.54889638655  0.0541962131992
0.0  147  113  113.309044117  1.50682520134  0.111935729506
0.0  148  124  124.414060675  1.38375254169  0.0809156012276
0.0  148  136  135.547357619  1.24487638681  -0.00778811602512
0.0  148  147  146.808413592  1.5548595459  -0.00160438400087
0.0  148  158  158.252980758  1.51990121138  0.0438553614025
0.0  148  170  169.610394159  1.33438603965  -0.0351422963183
0.0  148  181  181.192008318  1.55774177033  0.0679725055913
0.0  148  193  192.678380681  1.42506948837  -0.138684404835
0.0  148  204  204.454841934  1.29606803941  0.0469655918225
0.0  148  216  216.224469634  1.57327346969  0.0453033757078
0.0  149  228  227.982171213  1.64450519735  -0.0428460946723
0.0  149  240  239.897413744  1.64860843769  -0.0363241920856
0.0  149  252  251.92671741  1.66399999  -0.00116084378352
0.0  149  264  264.036758515  1.67762968088  0.00265057324307
0.0  149  276  276.261843854  1.60074381204  0.0960357235574
0.0  149  288  288.498977113  1.12101002156  0.151273763396
0.0  149  301  300.787273574  1.63542760196  -0.0362450871623
0.0  149  313  313.329047795  1.56178627529  0.119196714985
0.0  149  326  325.76403522  1.59074569241  -0.0265750375152
0.0  149  338  338.456589561  1.41459512739  0.0643292246346
0.0  149  351  351.157906287  1.69128714173  0.0321258226115
0.0  149  364  363.930427454  1.70368600627  -0.0279175415077
0.0  149  377  376.804306795  1.66944340738  -0.088103572422
0.0  149  390  389.822817028  1.69085850763  -0.0473384639236
0.0  149  403  402.948244334  1.74190301214  -0.0122351842842
0.0  150  416  416.120301447  1.7348722057  0.0152719076328
0.0  150  429  429.431853067  1.6614260129  0.0580123085857
0.0  150  443  442.759713454  1.71389258711  -0.0105911081008
0.0  150  456  456.317359695  1.67616018988  0.0668956710703
0.0  150  470  469.867231622  1.71163866587  0.0127352825628
0.0  150  484  483.568383934  1.54098411321  0.0425067232247
0.0  150  497  497.42048017  1.60424625926  0.0889000811405
0.0  150  511  511.343040622  1.65953565362  0.0716366161786
0.0  150  525  525.371099756  1.6483231323  0.100835975424
0.0  150  539  539.480030231  1.58064008392  0.0388074596009
0.0  150  554  553.663774597  1.65143362755  -0.0682404423643
0.0  150  568  568.052975397  1.81601866581  0.00375941637481
0.0  150  583  582.511073664  1.70813575975  0.0032845039139
0.0  150  597  597.090179769  1.84084543449  0.0198181199341
0.0  150  612  611.7464804  1.78014074729  0.0073440388326
0.0  150  627  626.543797874  1.65151120119  0.0320117868956
0.0  150  641  641.491809578  1.62484960148  0.0875525152802
0.0  150  657  656.519277287  1.56597670961  0.0467724181218
0.0  149  672  671.707653677  1.68598576357  -0.0371708077806
0.0  149  687  687.052319264  1.85463194317  0.00863202022917
0.0  149  702  702.475906654  1.60219988798  0.0268096931368
0.0  149  718  718.000875207  1.90846609721  -0.0290624842013
0.0  149  734  733.647235657  1.7672251726  -0.0647672153329
0.0  149  749  749.493585035  1.75087081987  0.0421423135193
0.0  149  765  765.397611363  1.81406121192  0.029469507209
0.0  149  781  781.443893693  1.77555717525  0.0537722834794
0.0  149  798  797.593335143  1.74534784427  0.0342846714324
0.0  149  814  813.921566464  1.86838605527  0.0293793723539
0.0  149  830  830.425394836  1.68782517782  0.0706555886745
0.0  148  847  847.117632338  1.97668692515  0.0629096421835
0.0  148  864  863.87894282  1.87201503823  -0.0176551362133
0.0  148  881  880.767882594  1.85214843209  -0.080411042275
0.0  148  898  897.850510355  1.91661010503  -0.0275896862567
0.0  148  915  915.081141952  1.95758551689  0.0171195508884
0.0  148  932  932.422821472  1.84338164737  0.021296566442
0.0  148  950  949.896671697  1.94516416617  0.0314994285267
