# Band 2A   Etalon 1B   Slice 1
# Distortion map version 06.04.00 - date 2018-10-16
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness        wavelength
0.0  534  7  6.63113978867  1.44042813531  -0.0623679738515  7.49012600446
0.0  534  17  17.4277391205  1.31266998995  0.0664268305627  7.50556140045
0.0  534  28  28.2580857548  1.49002051974  0.121677404934  7.52105879032
0.0  535  39  39.0715085176  1.66626875086  0.0580823450353  7.53662626263
0.0  535  50  49.9791071278  1.6821100146  0.0350474413912  7.55223939923
0.0  536  61  60.9889663899  1.7036518218  0.0517273721373  7.56791186496
0.0  536  72  72.115924639  1.74243793541  0.112474568741  7.58367393217
0.0  537  83  83.2520900611  1.6342105095  0.104464601556  7.59946742423
0.0  537  94  94.4778487307  1.36930158902  0.0788037202544  7.61534545146
0.0  538  106  105.682099884  1.63689103593  -0.0485243044366  7.6312889727
0.0  538  117  117.17995856  1.69159726815  0.0588401937517  7.64732015637
0.0  539  129  128.559273527  1.44627633646  -0.0502252586711  7.66340201404
0.0  539  140  140.209306511  1.64844428594  0.0625687045061  7.67955180272
0.0  540  152  151.759013797  1.61108943578  -0.0541290719892  7.69577043812
0.0  540  163  163.488535296  1.34036870079  0.0189580882472  7.71205015428
0.0  540  175  175.349491193  1.49334055731  0.0628520004714  7.72839474865
0.0  541  187  187.166139889  1.66441118357  0.0453136294714  7.74482365826
0.0  541  199  199.15547848  1.70127366231  0.051100327252  7.76131376138
0.0  541  211  211.201743749  1.68872397162  0.0830009468158  7.77789652121
0.0  542  223  223.266840205  1.6530562521  0.0905913772671  7.79453685972
0.0  542  235  235.459838719  1.51126944087  0.0861032391332  7.81125163637
0.0  542  248  247.683019503  1.66505637458  -0.0179763819472  7.82802596035
