# Band 2B   Etalon 1B   Slice 4
# Distortion map version 06.04.00 - date 2018-10-16
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness        wavelength
0.0  704  11  10.8694098572  1.66429455646  0.0123572250438  8.72815752932
0.0  704  23  23.0995356955  1.66150493971  0.00281819948938  8.74913266021
0.0  705  35  35.4545159463  1.60500141516  0.0148835042528  8.77020215617
0.0  705  48  47.8517384536  1.63365554375  0.000651018716141  8.79135137352
0.0  706  60  60.4056218184  1.5643388424  0.0269418018709  8.81262551854
0.0  706  73  72.9743762558  1.65352736257  -0.00546093524837  8.83400877563
0.0  707  86  85.69164768  1.61191506409  -0.0152532833149  8.85547559099
0.0  708  99  98.5402479407  1.61386649038  0.0146298932199  8.87705662479
0.0  708  111  111.438827113  1.63610900126  0.0069488057904  8.89870580425
0.0  709  124  124.458025472  1.63308417942  0.01796805773  8.92050379824
0.0  709  138  137.55449542  1.70362336468  0.0120444756843  8.94240438355
0.0  710  151  150.750428082  1.70850905051  -0.00156563765714  8.96440012264
0.0  710  164  164.091956484  1.73399361557  0.00442547070404  8.98652388845
0.0  711  178  177.507618805  1.73658343642  -0.0044699068572  9.00874143628
0.0  711  191  191.028562304  1.73994683482  -0.0196457708508  9.03107023182
0.0  711  205  204.668335422  1.68426823804  -0.0244758957635  9.05350861198
0.0  712  218  218.433052171  1.64354996851  -0.00836083814725  9.07607831344
0.0  712  232  232.319102171  1.65512388031  0.0110477817157  9.09874725683
0.0  713  246  246.298258051  1.64274522711  0.0261853446027  9.12152742337
0.0  713  260  260.375864459  1.63697108069  0.015435833193  9.14442837482
0.0  713  275  274.556833004  1.60660444667  0.00297852721924  9.16743647918
0.0  714  289  288.845552956  1.70648244321  -0.00543826860596  9.19056769807
