# Band 2C   Etalon 1B   Slice 14
# Distortion map version 06.04.00 - date 2018-10-10
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness
0.0  791  14  14.3001358901  1.71722327515  0.0258174615788
0.0  792  28  28.217520879  1.74351041298  0.0533542702664
0.0  792  42  42.2221426303  1.63917423265  0.0605790813938
0.0  793  56  56.3907529639  1.59721879792  0.0632798907257
0.0  794  71  70.6774148513  1.70204738522  0.0755921895662
0.0  794  85  85.059031643  1.70351952241  0.0747611473278
0.0  795  100  99.5991584462  1.76548302598  0.0320161718485
0.0  795  114  114.207760249  1.78472423243  -0.0110978013824
0.0  796  129  129.038950209  1.79841624139  0.0285265888457
0.0  797  144  143.99625934  1.79463614431  0.0282999309642
0.0  797  159  159.006752593  1.77175198176  0.00171431994918
0.0  798  174  174.227615864  1.78047404514  -0.0113380881498
0.0  798  190  189.527927675  1.81117992799  -0.00141112008818
0.0  799  205  205.01984985  1.78371719525  -0.0208867362808
0.0  799  221  220.60131829  1.7527138003  -0.0116650042355
0.0  800  236  236.391603585  1.72899469633  -0.0110282417072
0.0  800  252  252.299161104  1.70989375967  0.0232619390822
0.0  801  268  268.366412491  1.66511535884  0.0324448513044
0.0  801  285  284.544644089  1.67759006757  0.0403593988857
0.0  801  301  300.865310489  1.74752951851  0.0485419005129
0.0  802  317  317.424524968  1.72491305599  0.0692797197195
0.0  802  334  334.067536664  1.77807422588  0.0865627085031
0.0  802  351  350.871966317  1.85915726837  0.0432347783029
0.0  803  368  367.883654439  1.83027481736  0.054734185349
0.0  803  385  385.007215194  1.85278035694  0.0306636336558
0.0  803  402  402.306196904  1.82748498565  0.0243198715779
0.0  804  420  419.819901362  1.87007197241  0.0395804549944
0.0  804  437  437.467841041  1.86352023635  0.0120592179179
0.0  804  455  455.287417824  1.89332306646  0.00524058491047
0.0  804  473  473.27053546  1.8826625043  -0.00507068116328
0.0  804  491  491.446668122  1.86936036197  -0.0211163463499
0.0  804  510  509.792182491  1.87815879722  -0.0307900238885
0.0  804  528  528.35855442  1.80375678145  0.057727547896
0.0  804  547  547.057550786  1.89266062512  -0.0287802706074
0.0  804  566  565.95944905  1.86692282089  -0.0152702312549
0.0  804  585  585.063029443  1.89429108681  0.0021648846049
0.0  804  604  604.373327805  1.84453545185  0.0336712371334
0.0  804  624  623.833253692  1.902777  0.0189022690165
0.0  804  644  643.547866982  1.90531267865  0.0327642064538
0.0  804  663  663.436737955  1.91896585399  0.0266879373734
0.0  803  684  683.537525227  1.93694508116  0.0369728588478
0.0  803  704  703.854866954  2.00585111944  0.0342004072747
0.0  803  724  724.408480215  1.98608502602  0.0401156533345
0.0  802  745  745.16742621  2.07555444099  0.0275210180922
0.0  802  766  766.143269013  2.09231426449  0.00951721918195
0.0  801  787  787.355004939  2.14429325424  -0.00110122136846
0.0  801  809  808.775843527  2.14275917717  -0.0464686204851
0.0  800  830  830.455718787  2.12277009847  -0.0452857217317
0.0  800  852  852.341939927  2.13157071706  -0.0435653669059
0.0  799  874  874.479831707  2.09621510775  -0.0181293106758
0.0  798  897  896.86236793  2.16162746012  -0.0111852640386
0.0  798  919  919.451464693  2.12517888164  -0.0116589174415
0.0  797  942  942.407131894  2.15225376001  0.0138511041964
0.0  796  966  965.559604917  2.2095492945  0.00537502218595
0.0  795  989  988.992359269  2.29059367936  0.00246716801002
0.0  794  1013  1012.66322703  2.30770131051  -0.0252263836604
-1.76322770809  800  15  15.0358181884  1.78394874416  0.0262393825107
-1.76322770809  800  29  28.8477909478  1.73547707415  0.00200775158186
-1.76322770809  801  43  42.9196051787  1.72174530018  0.0350497009051
-1.76322770809  802  57  57.0974184305  1.70501354731  0.0534802140164
-1.76322770809  802  71  71.3023836367  1.6842028942  0.0400827016174
-1.76322770809  803  86  85.7168426286  1.74254513697  0.0399228720459
-1.76322770809  804  100  100.285513694  1.7188134824  0.057848900595
-1.76322770809  804  115  114.880151176  1.7920996491  0.0418442404036
-1.76322770809  805  130  129.678157989  1.82419211705  0.0261645455802
-1.76322770809  806  145  144.637831236  1.84256374411  0.0733954776176
-1.76322770809  806  160  159.619174716  1.84264957382  0.00247533543046
-1.76322770809  807  175  174.832025285  1.80957846537  0.01098014009
-1.76322770809  807  190  190.13454111  1.78573013768  0.0113020669041
-1.76322770809  808  206  205.616898219  1.81685775617  0.00271536881198
-1.76322770809  808  221  221.179158887  1.77832153471  -0.00851131038963
-1.76322770809  809  237  236.949447506  1.78450406672  -0.0142439128985
-1.76322770809  809  253  252.797702214  1.73002168473  -0.0110790534257
-1.76322770809  810  269  268.875030394  1.7456017543  0.0157560619631
-1.76322770809  810  285  285.062488682  1.73703186251  0.0541278127207
-1.76322770809  810  301  301.365140793  1.7074032636  0.0565701309807
-1.76322770809  811  318  317.897886066  1.77294236923  0.0650419402083
-1.76322770809  811  334  334.502732431  1.72306177345  0.0370421043467
-1.76322770809  811  351  351.312931028  1.80038847291  0.0571883210182
-1.76322770809  812  368  368.323068736  1.78463264682  0.0421752923799
-1.76322770809  812  385  385.447527501  1.83066244221  0.0302217030275
-1.76322770809  812  403  402.698563137  1.84616073387  0.011813843579
-1.76322770809  812  420  420.188994588  1.85801979067  0.0302744135991
-1.76322770809  813  438  437.842488786  1.85321743739  0.026594913364
-1.76322770809  813  456  455.647007679  1.869015853  0.0137432699553
-1.76322770809  813  474  473.636027444  1.87345182145  0.00158672303738
-1.76322770809  813  492  491.773155048  1.89294054053  -0.0161864203589
-1.76322770809  813  510  510.124843889  1.87194792367  -0.0221333993905
-1.76322770809  813  529  528.621321578  1.86345516525  -0.0292732072859
-1.76322770809  813  547  547.352975865  1.86281287965  -0.010131863471
-1.76322770809  813  566  566.235297952  1.86959677107  -0.00108852247066
-1.76322770809  813  585  585.337247487  1.8484755416  0.0264532597073
-1.76322770809  813  605  604.58359284  1.85646400836  0.00253739649729
-1.76322770809  813  624  624.105996984  1.9098071843  0.0547555226103
-1.76322770809  813  644  643.754027981  1.9253323427  0.0195546626055
-1.76322770809  813  664  663.64258309  1.91090512738  0.0236697789491
-1.76322770809  812  684  683.700359551  1.95235727504  0.0240196443622
-1.76322770809  812  704  704.033362799  2.00651772116  0.0473778284992
-1.76322770809  812  725  724.556108329  1.97862676106  0.0278920429724
-1.76322770809  811  745  745.288491965  2.04559436307  0.0303488243623
-1.76322770809  811  766  766.261006356  2.06387714563  0.0175229849905
-1.76322770809  810  787  787.423953346  2.10007820759  -0.00774916307377
-1.76322770809  810  809  808.844419147  2.13466022042  -0.0378025750265
-1.76322770809  809  830  830.491426768  2.10675554957  -0.0351372376103
-1.76322770809  809  852  852.403605255  2.08981463453  -0.0254765011307
-1.76322770809  808  874  874.499458567  2.0833075023  -0.0168098770372
-1.76322770809  807  897  896.819992924  2.16419615673  -0.0238135535856
-1.76322770809  806  919  919.445982996  2.05415126598  -0.0342392467552
-1.76322770809  806  942  942.379799398  2.12653350282  0.0079537000083
-1.76322770809  805  966  965.520590895  2.2459049503  0.0146872030204
-1.76322770809  804  989  988.922188149  2.28603191267  0.00494981613503
-1.76322770809  803  1013  1012.58025668  2.28741914445  -0.0206506162163
-1.56918770809  799  15  14.9471504025  1.77622205717  0.021488022656
-1.56918770809  799  29  28.8078955581  1.81829477219  0.00293498443723
-1.56918770809  800  43  42.8289884558  1.69986284286  0.0312621771585
-1.56918770809  801  57  57.0191762785  1.68283246222  0.05604004435
-1.56918770809  801  71  71.2803593037  1.7401075212  0.0696311048267
-1.56918770809  802  86  85.6405847415  1.72917742141  0.0380717590439
-1.56918770809  803  100  100.208072206  1.7371504051  0.0565823701137
-1.56918770809  803  115  114.798733898  1.80841510878  0.0310448664353
-1.56918770809  804  130  129.612649454  1.82927171112  0.0280760516955
-1.56918770809  805  145  144.556558687  1.81443391843  0.00274789679632
-1.56918770809  805  160  159.557733873  1.84766367844  0.00587017836962
-1.56918770809  806  175  174.767596525  1.81802775636  0.00294736485026
-1.56918770809  806  190  190.060311689  1.77930987504  0.00139373758249
-1.56918770809  807  206  205.544751752  1.82500390087  -0.000509490401043
-1.56918770809  807  221  221.105964154  1.78080155103  -0.0135443276352
-1.56918770809  808  237  236.870971667  1.76801109072  -0.025579160987
-1.56918770809  808  253  252.734253358  1.72406694396  -0.0186864347839
-1.56918770809  809  269  268.805287241  1.72779342732  0.0137971132406
-1.56918770809  809  285  284.998559703  1.74853582435  0.0514612806843
-1.56918770809  809  301  301.312790163  1.70645743783  0.0693602743577
-1.56918770809  810  318  317.838944423  1.78471197287  0.068623778405
-1.56918770809  810  334  334.45168143  1.73466584455  0.0492156390437
-1.56918770809  810  351  351.271918238  1.81230614626  0.0627828341303
-1.56918770809  811  368  368.267810651  1.79380242489  0.0476830522659
-1.56918770809  811  385  385.377881793  1.84160981554  0.0192062012787
-1.56918770809  811  403  402.642377085  1.83544747705  0.00941223085406
-1.56918770809  811  420  420.141106934  1.86278083911  0.0305831566119
-1.56918770809  812  438  437.797368667  1.87665479149  0.0214452717172
-1.56918770809  812  456  455.584882829  1.89129345254  -0.000286818455849
-1.56918770809  812  474  473.577427182  1.89052997475  -0.00546561071567
-1.56918770809  812  492  491.728970533  1.88300165054  -0.0143195931069
-1.56918770809  812  510  510.087760239  1.88401049002  -0.0260002023554
-1.56918770809  812  529  528.586015574  1.85006090418  -0.0332374013097
-1.56918770809  812  547  547.319506007  1.8757830353  -0.0122565650045
-1.56918770809  812  566  566.217341274  1.8592885181  0.00599759590237
-1.56918770809  812  585  585.296117982  1.87205157848  0.0267798410584
-1.56918770809  812  605  604.542650042  1.85553792756  0.00625627371955
-1.56918770809  812  624  624.056729713  1.91480711641  0.0440152197494
-1.56918770809  812  644  643.710482261  1.92843765956  0.0233973339704
-1.56918770809  812  664  663.608673551  1.92920820679  0.0294709353312
-1.56918770809  811  684  683.678860945  1.9721244276  0.027195148616
-1.56918770809  811  704  704.005236412  1.99531517743  0.0513326592616
-1.56918770809  811  725  724.518159909  1.98150157637  0.0274024024785
-1.56918770809  810  745  745.269050447  2.05856170209  0.0331220697669
-1.56918770809  810  766  766.241751163  2.0858811813  0.0228706302193
-1.56918770809  809  787  787.41105399  2.12071726665  -0.00865913596954
-1.56918770809  809  809  808.826159011  2.13398347894  -0.039116167786
-1.56918770809  808  830  830.478467188  2.10345229234  -0.0385103383711
-1.56918770809  808  852  852.372332109  2.08667598788  -0.0345937499958
-1.56918770809  807  874  874.490593031  2.09199065586  -0.0128017224184
-1.56918770809  806  897  896.829403957  2.15235534647  -0.0216847019497
-1.56918770809  806  919  919.426438896  2.11940888312  -0.00555425703461
-1.56918770809  805  942  942.358687695  2.14914830119  0.0129184472716
-1.56918770809  804  965  965.498001081  2.21984066629  0.0124522098804
-1.56918770809  803  989  988.899276546  2.28406823428  -0.00148841894522
-1.56918770809  802  1013  1012.56018928  2.31000791053  -0.0172472297815
-1.37514770809  798  15  14.8429072771  1.7586504874  0.0161987517339
-1.37514770809  798  29  28.7035261913  1.79045435778  -0.00664503468726
-1.37514770809  799  43  42.7270957051  1.68553292363  0.0209303339524
-1.37514770809  800  57  56.9306980281  1.68939507654  0.0558297224807
-1.37514770809  801  71  71.2011150802  1.79705074056  0.0794248985554
-1.37514770809  801  86  85.5621163689  1.72515184714  0.0343359807097
-1.37514770809  802  100  100.137032613  1.75313540799  0.063681798099
-1.37514770809  802  115  114.730308712  1.79614319027  0.035060086091
-1.37514770809  803  130  129.538808667  1.82008581388  0.0164305680419
-1.37514770809  804  144  144.481231371  1.81533076627  0.00183146385795
-1.37514770809  804  159  159.476168589  1.8311635032  -0.00802968335129
-1.37514770809  805  175  174.700734624  1.82645135831  0.000901143067197
-1.37514770809  805  190  189.981282202  1.78490205363  0.00581277782
-1.37514770809  806  205  205.4753295  1.80227426856  -0.00494707565416
-1.37514770809  806  221  221.034290583  1.78315635168  -0.0184336837877
-1.37514770809  807  237  236.809077381  1.75794864388  -0.0190104058216
-1.37514770809  807  253  252.689437134  1.72173415467  0.00688866202212
-1.37514770809  808  269  268.756842997  1.73336582259  0.0125815859642
-1.37514770809  808  285  284.92711556  1.74337340484  0.0394753582548
-1.37514770809  808  301  301.260963186  1.70919172765  0.0805260675241
-1.37514770809  809  318  317.781239854  1.76856865011  0.0614143856996
-1.37514770809  809  334  334.408934486  1.73808445407  0.0523505021897
-1.37514770809  809  351  351.20692524  1.80860650575  0.0472296376598
-1.37514770809  810  368  368.215585856  1.80752453253  0.0513047378486
-1.37514770809  810  385  385.327002108  1.84852230864  0.0267453849782
-1.37514770809  810  403  402.608677256  1.84430237507  0.0171361141841
-1.37514770809  810  420  420.116390323  1.90101598027  0.0377684533934
-1.37514770809  811  438  437.752777321  1.86549861968  0.0192277780416
-1.37514770809  811  456  455.554265204  1.89137980778  0.00312355170837
-1.37514770809  811  474  473.548129447  1.88317786892  0.00395768762456
-1.37514770809  811  492  491.685180693  1.89336379371  -0.011269695477
-1.37514770809  811  510  510.048518341  1.89779707081  -0.0195504812439
-1.37514770809  811  529  528.550307913  1.84929722282  -0.0284842063349
-1.37514770809  811  547  547.281852228  1.88670011595  -0.0234477561138
-1.37514770809  811  566  566.184551713  1.86783232701  0.00532401186505
-1.37514770809  811  585  585.265689795  1.85015364796  0.0260722113642
-1.37514770809  811  605  604.522809012  1.83806298913  0.0254460856586
-1.37514770809  811  624  624.015875649  1.93529072569  0.0361355277171
-1.37514770809  811  644  643.687813003  1.91716511243  0.0258103826235
-1.37514770809  811  664  663.567428768  1.92884856279  0.013275199425
-1.37514770809  810  684  683.658150753  1.94836730605  0.0379321131479
-1.37514770809  810  704  703.981037114  2.00865727349  0.0489326142514
-1.37514770809  810  724  724.497665407  1.98958030951  0.0324257929324
-1.37514770809  809  745  745.252431933  2.04092817383  0.0271824449444
-1.37514770809  809  766  766.225689669  2.08372706893  0.0168568357992
-1.37514770809  808  787  787.401868676  2.12485893606  -0.00656647657928
-1.37514770809  808  809  808.814062877  2.14296376056  -0.0445647322121
-1.37514770809  807  830  830.468142244  2.12512707058  -0.0376672418723
-1.37514770809  807  852  852.35676204  2.09298077415  -0.0398759846628
-1.37514770809  806  874  874.484326019  2.09451228468  -0.0040523104666
-1.37514770809  805  897  896.835393609  2.16287104438  -0.0173389500452
-1.37514770809  805  919  919.466921112  2.13220586197  0.0159156543935
-1.37514770809  804  942  942.354779477  2.18907928271  0.0106118715789
-1.37514770809  803  965  965.502235409  2.2036370946  0.00730341012191
-1.37514770809  802  989  988.896946042  2.26254447794  -0.00289070388643
-1.37514770809  801  1013  1012.57294138  2.27923215725  -0.0155075167479
-1.18110770809  797  15  14.7631881344  1.76381191072  0.0242091768317
-1.18110770809  798  29  28.6484195568  1.74938061723  0.0157987643305
-1.18110770809  798  43  42.6553342482  1.67969478147  0.0314587906005
-1.18110770809  799  57  56.837565096  1.68979509503  0.0398614884184
-1.18110770809  800  71  71.1148180254  1.78360523564  0.0671445880907
-1.18110770809  800  85  85.4921148154  1.69478516004  0.0403830997882
-1.18110770809  801  100  100.051689063  1.7489182317  0.0645176495189
-1.18110770809  801  115  114.646251496  1.78399469553  0.0269596819637
-1.18110770809  802  129  129.459275297  1.81168710197  0.00989669447196
-1.18110770809  803  144  144.407993444  1.81426204942  0.00799122945172
-1.18110770809  803  159  159.405870751  1.81214793393  -0.00402592238367
-1.18110770809  804  175  174.61366032  1.81784149132  -0.00766901005591
-1.18110770809  804  190  189.914716886  1.78499989757  0.00246982061979
-1.18110770809  805  205  205.409149735  1.80465531122  -0.0199391407149
-1.18110770809  805  221  220.964759572  1.76592205657  -0.0226391744371
-1.18110770809  806  237  236.755369763  1.74985586529  -0.00678409465243
-1.18110770809  806  253  252.618453106  1.71196993708  -0.00126831918013
-1.18110770809  807  269  268.693124183  1.70505954045  0.0152123292391
-1.18110770809  807  285  284.855149049  1.7297634574  0.0326648289231
-1.18110770809  807  301  301.188548879  1.73131560361  0.0638371283976
-1.18110770809  808  318  317.734129972  1.75779933195  0.0633042185229
-1.18110770809  808  334  334.356955261  1.73400597734  0.0593603606727
-1.18110770809  808  351  351.151129161  1.82410821765  0.0310315081963
-1.18110770809  809  368  368.162304582  1.81127579419  0.0559912049682
-1.18110770809  809  385  385.27383736  1.82879708893  0.0258030790734
-1.18110770809  809  403  402.560866484  1.82280907476  0.0170118368441
-1.18110770809  810  420  420.070584496  1.92322441245  0.0325870364765
-1.18110770809  810  438  437.712353025  1.86831959824  0.0214025770768
-1.18110770809  810  456  455.518831267  1.88796225568  0.00748689170076
-1.18110770809  810  474  473.507885873  1.88916393569  0.0041385581793
-1.18110770809  810  492  491.655321644  1.90133131549  -0.0115842564239
-1.18110770809  810  510  510.008248986  1.90691105321  -0.0266316027047
-1.18110770809  810  529  528.519283286  1.84742460771  -0.0273092138848
-1.18110770809  810  547  547.256189696  1.87494902864  -0.00913350515284
-1.18110770809  810  566  566.135212425  1.84856565281  -0.00547509543502
-1.18110770809  810  585  585.235695277  1.84069180869  0.023834945812
-1.18110770809  810  605  604.499903649  1.84669536176  0.0277799757553
-1.18110770809  810  624  623.972710761  1.90774956981  0.0254688118234
-1.18110770809  810  644  643.649288353  1.89056636419  0.0232522117132
-1.18110770809  810  664  663.565912257  1.9175609402  0.0280478224717
-1.18110770809  809  684  683.647913442  1.95755995157  0.0384295214485
-1.18110770809  809  704  703.959436547  2.02010604501  0.0489347877906
-1.18110770809  809  724  724.479701695  1.96865792833  0.0331764531653
-1.18110770809  808  745  745.238171107  2.03738232016  0.0325799113172
-1.18110770809  808  766  766.213602583  2.08104175322  0.019336257933
-1.18110770809  807  787  787.392002509  2.10291768059  -0.00290589318871
-1.18110770809  807  809  808.810755395  2.14780932827  -0.0410668224701
-1.18110770809  806  830  830.471499456  2.11883645013  -0.0308722445919
-1.18110770809  806  852  852.346201123  2.09042517551  -0.0406553795953
-1.18110770809  805  874  874.472980556  2.09085695966  -0.0202590629971
-1.18110770809  804  897  896.833334517  2.13036867427  -0.0222101279756
-1.18110770809  804  919  919.460279965  2.1218384825  0.0171935511931
-1.18110770809  803  942  942.377360239  2.17291100177  0.0258699691766
-1.18110770809  802  965  965.502481469  2.20826402145  0.00280611510915
-1.18110770809  801  989  988.898462256  2.25900149412  -0.00498911266051
-1.18110770809  800  1013  1012.59201288  2.2665565795  -0.0140706354328
-0.987067708085  796  15  14.677419936  1.74700948631  0.0237612565218
-0.987067708085  797  29  28.6157847154  1.74693783507  0.0716434949853
-0.987067708085  797  43  42.5694154906  1.67322459637  0.0197497817758
-0.987067708085  798  57  56.7576813912  1.67710212867  0.0345643041856
-0.987067708085  799  71  71.0818979533  1.69697280348  0.107111531251
-0.987067708085  799  85  85.4161095789  1.68310402473  0.0474459511392
-0.987067708085  800  100  99.9775217329  1.76779611915  0.0722655977091
-0.987067708085  800  115  114.568327155  1.84769859126  -0.0123488100631
-0.987067708085  801  129  129.382527201  1.8176857438  0.00524699654649
-0.987067708085  802  144  144.338285598  1.79311073701  0.00786450530059
-0.987067708085  802  159  159.334702365  1.80730195091  -0.00132724686473
-0.987067708085  803  175  174.545619745  1.81410553069  -0.000357208207319
-0.987067708085  803  190  189.850661347  1.78980641235  0.010976899816
-0.987067708085  804  205  205.336861543  1.7946153842  -0.0204137347859
-0.987067708085  804  221  220.906615287  1.76553310438  -0.0105260383677
-0.987067708085  805  237  236.679644997  1.75722140014  -0.00630922572649
-0.987067708085  805  253  252.570048423  1.69300363583  0.00400631808446
-0.987067708085  806  269  268.630384836  1.69146458606  0.0188144636594
-0.987067708085  806  285  284.803065366  1.72717110833  0.0372306820701
-0.987067708085  806  301  301.144593119  1.74935826366  0.0728496174919
-0.987067708085  807  318  317.677315462  1.75762448097  0.0624656463102
-0.987067708085  807  334  334.313005578  1.74747977447  0.076859455807
-0.987067708085  807  351  351.140392083  1.87756704474  0.0581912609574
-0.987067708085  808  368  368.115051307  1.81853971762  0.0539071900146
-0.987067708085  808  385  385.231094388  1.83443327402  0.0279737226917
-0.987067708085  808  403  402.521710521  1.82610136303  0.0187131995718
-0.987067708085  809  420  420.038260283  1.85810805409  0.0313738864514
-0.987067708085  809  438  437.671032029  1.86318482966  0.0279275564391
-0.987067708085  809  455  455.47957277  1.88692955676  0.00668195440503
-0.987067708085  809  473  473.466294625  1.86965872259  0.00153354150401
-0.987067708085  809  492  491.614502691  1.89210969531  -0.014144197854
-0.987067708085  809  510  509.969807533  1.90910347169  -0.0264311866052
-0.987067708085  809  528  528.491380174  1.85721875373  -0.0195790385931
-0.987067708085  809  547  547.217010706  1.86719938427  -0.0114345065546
-0.987067708085  809  566  566.117437402  1.8667477074  0.00304362717563
-0.987067708085  809  585  585.201874229  1.86614796774  0.0212055309403
-0.987067708085  809  604  604.480210994  1.82995860422  0.0337360242953
-0.987067708085  809  624  623.958465045  1.9323329539  0.0398244548345
-0.987067708085  809  644  643.640688831  1.90566370058  0.0302093222571
-0.987067708085  809  664  663.530168732  1.91448120884  0.0239654759538
-0.987067708085  808  684  683.618189428  1.93925270591  0.0260293389495
-0.987067708085  808  704  703.936986637  2.01929210587  0.0432449114389
-0.987067708085  808  724  724.471592089  1.980153978  0.0302272096787
-0.987067708085  807  745  745.192254453  2.05479123967  0.023469150616
-0.987067708085  807  766  766.194343324  2.08597886281  0.0177235439525
-0.987067708085  806  787  787.38552176  2.1033962592  -0.00832871194041
-0.987067708085  806  809  808.807481156  2.1604645708  -0.0446646259055
-0.987067708085  805  830  830.461248218  2.10278855788  -0.0413343862796
-0.987067708085  805  852  852.363317777  2.09999390098  -0.0225208393903
-0.987067708085  804  874  874.470630878  2.07918550991  -0.0148197037097
-0.987067708085  803  897  896.834865508  2.14685095484  -0.00959213449629
-0.987067708085  803  919  919.451494957  2.12282260675  0.00373804734932
-0.987067708085  802  942  942.368941604  2.17593271661  0.0190593364825
-0.987067708085  801  966  965.499568392  2.22049420759  -0.00155045700228
-0.987067708085  800  989  988.92154833  2.28705184363  -0.00244592896935
-0.987067708085  799  1013  1012.60319598  2.27949409309  -0.00557653124597
