# Band 3C   Etalon 2A   Slice 16
# Distortion map version 7B.05.01 - date 2019-03-22
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness
0.0  529  9  8.623597554335138  2.983551060429688  -0.015800698333730462
0.0  530  51  51.13909718710756  2.8242177036065783  -0.016592221512308346
0.0  532  93  92.92302982455938  2.6816768671166926  -0.026083390498180595
0.0  533  134  133.96792641393233  2.8935755423024148  0.004289382297648385
0.0  535  174  174.06873465920305  2.664922183374472  -0.01962310101238413
0.0  536  213  213.44081236161418  2.5586183897842716  0.0064123646335650306
0.0  537  252  252.09636411687003  2.6555949197446864  0.0013640146068815368
0.0  538  290  289.909670898626  2.555879247645123  -0.03328576296649954
0.0  538  327  327.08263658532627  2.6195427992837494  0.012957253343409681
0.0  539  364  363.60287478981235  2.6119084629215195  -0.017751786364198267
0.0  539  399  399.34176842186923  2.4814568957872325  0.002057459167567071
0.0  540  435  434.66650218851925  2.619868795538082  -0.016615085495310725
0.0  540  469  469.14007162537706  2.563760767410713  -0.007031988796017829
0.0  540  503  503.12854483690717  2.6157237329340433  0.01614469484394117
0.0  540  536  536.3997910506984  2.5482241125664586  -0.025293280921516868
0.0  540  569  569.245284445037  2.5932624045294688  0.026055842690508355
0.0  540  601  601.4549013420813  2.626589031420167  0.012102549679637791
0.0  540  633  633.0283546080825  2.4928305846526655  -0.016445401219591177
0.0  539  664  664.1362407397803  2.581615442707289  -0.010739827588746255
0.0  539  695  694.7397040861009  2.6265504547843648  -0.04422098212935867
0.0  538  725  724.7886631490759  2.6042304362449613  -0.012916375589508753
0.0  538  754  754.4286146437751  2.5681767675587253  -0.020401627770466755
0.0  537  783  783.4774771692163  2.533520898110055  0.015366113045136276
0.0  536  812  812.0585494713235  2.5484309346406917  0.014525449125400604
0.0  536  840  840.282159384466  2.490700832262519  0.01331021278157852
0.0  535  868  867.9131237551677  2.5383849022591676  0.009074191743292786
0.0  534  895  895.1005316461527  2.56799753869268  0.01110471636215652
0.0  533  922  921.8401853562775  2.532773565118987  0.00025496057235297907
0.0  532  948  948.1488509352993  2.4560303824032417  0.005904825778542422
0.0  531  974  974.0283250327606  2.4476365516618444  0.01126318644601322
0.0  530  1000  999.5191950884819  2.397355719574989  0.02403593270387785
-2.441004105728037  538  11  10.929016945722074  2.7677345041480788  -0.010249699192415095
-2.441004105728037  540  53  53.4639125056723  2.647506968429468  -0.0043321617939561085
-2.441004105728037  542  95  95.27581274120391  2.638758388169691  0.009005967016186039
-2.441004105728037  543  136  136.04973629891222  2.6931769852712932  0.0018620815836904753
-2.441004105728037  545  176  176.26390738881335  2.519123001192156  0.004836321112435597
-2.441004105728037  546  216  215.59491711983458  2.560850207883277  0.01947861463548457
-2.441004105728037  547  254  254.11138034854275  2.5801912066419845  0.0012164858351516369
-2.441004105728037  548  292  291.82636539272266  2.586746893143413  -0.07970732618783771
-2.441004105728037  548  329  329.02061885871814  2.6336812969190078  0.0060866585597712545
-2.441004105728037  549  366  365.5217116506829  2.433992210020392  0.014029187954602593
-2.441004105728037  549  401  401.26394379430496  2.5217318906476294  0.023357795015333627
