# Band 4A   Etalon 2A   Slice 3
# Distortion map version 7B.05.01 - date 2019-03-22
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness
0.0  304  26  26.042746952760865  3.8755847516398596  -0.03809667232492737
0.0  304  71  71.28985702661087  3.5947274920974905  -0.022776722196694524
0.0  305  115  115.41761785023444  3.6184917522524245  -0.00800039641226178
0.0  305  159  158.59647213220987  3.3098114051086327  -0.0026649420267014895
0.0  306  201  200.89842764730003  3.2335282823480043  -0.010573336263456325
0.0  306  242  242.2637533704845  3.119473250431099  -0.012889803245801714
0.0  306  283  282.733373456265  2.946108384419176  -0.02827576102505607
0.0  306  322  322.4282263345352  2.8206676165825115  -0.03665354189396551
0.0  307  361  361.13440236928193  2.9570879415716718  -0.028705346944119765
0.0  307  399  399.2877509796319  2.732266752699161  0.026211007032287098
0.0  307  436  436.4572717559695  2.619712594674297  -0.027891303579869856
0.0  307  473  472.9686364152729  2.648415409020913  -0.035668367718986384
0.0  307  509  508.79373185582614  2.593453989186969  -0.021998323815386363
0.0  307  544  543.8998192398542  2.5868641564761674  -0.007497679041684191
0.0  307  578  578.3659837193517  2.562153734787671  0.008954497315811641
0.0  307  612  612.1076885570501  2.505986919326233  0.008658344106796112
0.0  307  645  645.1937412517134  2.4787252062606058  -0.015676544672383642
0.0  306  678  677.7760195437587  2.4940905051562368  0.005505430379869822
0.0  306  710  709.6541445554582  2.3693943108821713  -0.011355317766269435
0.0  306  741  740.9218379510982  2.407778072976612  -0.02628321802198458
0.0  306  772  771.6754664682779  2.3531782165198365  -0.00994600696944751
0.0  306  802  801.8535883591184  2.321229461749226  0.008162913313856358
0.0  305  832  831.563929797365  2.3108637803436523  0.0018032583323766061
0.0  305  861  860.5872375082967  2.2674059271752185  -0.04794858194526617
0.0  305  889  889.2336395890339  2.3115455899155677  0.0029044843184423256
0.0  305  917  917.2644074240311  2.283574780002027  -0.0007396816683277025
0.0  304  945  944.9133461274237  2.3215468407549906  -0.012556940715227454
0.0  304  972  972.0313698301364  2.244950662719475  -0.007271404562726407
0.0  304  999  998.6149842823304  2.201215770767476  -0.040410836011932405
-2.782382086709693  293  26  26.132650845093877  3.847959000233459  -0.03244186629099325
-2.782382086709693  294  71  71.4373808975297  3.8338270886683574  -0.014052346703219608
-2.782382086709693  295  116  115.54919144755183  3.6454998589070016  -0.027935371662064314
-2.782382086709693  295  159  158.86077535902234  3.3636933889080183  0.0025295671824719945
-2.782382086709693  295  201  201.1143311942269  3.292976320291814  -0.011802327393019719
-2.782382086709693  296  242  242.44540280372976  3.02339648106647  -0.029586801993120495
-2.782382086709693  296  283  283.07948847097657  2.9885338839106907  0.018453599822353665
-2.782382086709693  296  323  322.70975307932764  2.937411585507448  -0.028729949157641228
-2.782382086709693  296  362  361.57823317545945  2.8141004028817633  -0.017139533258170695
-2.782382086709693  296  400  399.6399553604815  2.8032386852878517  0.00983742566925067
-2.782382086709693  297  437  436.86963065739695  2.8192320598761853  -0.028828034930927088
-2.782382086709693  297  473  473.44704746363215  2.613339298847791  0.005336982532051294
-2.782382086709693  297  509  509.2654433252973  2.655735602888626  -0.007685798513794157
-2.782382086709693  297  544  544.4143007261704  2.577298015292399  -0.010661819793180705
-2.782382086709693  297  579  578.8292378499577  2.6230347608720876  -0.0297825834981526
-2.782382086709693  296  613  612.6561348305117  2.4810272745677366  -0.03846140339912173
