# Band 4A   Etalon 2B   Slice 4
# Distortion map version 06.04.00 - date 2018-10-11
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness
0.0  230  44  44.3337622272  3.57590770122  -0.00373078364159
0.0  231  87  86.6595636468  3.52905126945  -0.0153860069676
0.0  231  128  128.121645568  3.58434920359  -0.024907864953
0.0  231  169  168.665341458  3.44873524622  -0.0242789133959
0.0  232  208  208.470411504  3.50056532779  -0.0148603414182
0.0  232  248  247.501817877  3.53483405528  0.00494782605531
0.0  232  286  285.62712727  3.52735180722  -0.0186394975178
0.0  232  323  323.109901953  3.45769836945  -0.00599076262863
0.0  233  360  359.806858453  3.30777240376  0.0102015272159
0.0  233  396  395.75050115  3.41073537079  -0.00375308276389
0.0  233  431  431.012007761  3.34709871821  -0.00118799727974
0.0  233  466  465.584571046  3.38171443083  -0.000215141072054
0.0  233  500  499.590309333  3.2604476332  0.00879115082565
0.0  233  533  532.8706838  3.35012085993  -0.019608391122
0.0  233  566  565.598094446  3.2864124216  -0.0139033360126
0.0  233  598  597.694639713  3.2128011212  -0.0284253666721
0.0  233  629  629.260861176  3.27206179231  -0.0150914498191
0.0  233  660  660.234156237  3.32606150717  -0.00418110697114
0.0  232  691  690.673379646  3.27321735236  -0.0236256841815
0.0  232  721  720.554069101  3.33787372869  -0.0246925104401
0.0  232  750  749.950554343  3.20283841699  -0.0109287518466
0.0  232  779  778.790713614  3.33789373748  -0.0224737671436
0.0  232  807  807.188262312  3.29475200166  -0.00956551111131
0.0  232  835  835.068747606  3.27162238478  -0.0069797614819
0.0  231  863  862.57577433  3.28868582207  0.00614814888526
0.0  231  890  889.502904407  3.31107810751  0.00830970462702
0.0  231  916  915.977008866  3.26568219147  -0.0109100433637
0.0  231  942  942.044582436  3.34592737474  -0.00425030859755
0.0  230  968  967.752916426  3.31290989571  0.00939401984963
0.0  230  993  992.905077707  3.33637844729  -0.00591457447141
0.0  230  1018  1017.78535273  3.44336280632  0.0208282369266
-2.56537109397  221  44  43.8265403032  3.72712540522  -0.00580756834975
-2.56537109397  221  86  86.2807243642  3.57305429934  -0.0133888167183
-2.56537109397  221  128  127.827186379  3.51789008333  0.00629577748872
-2.56537109397  222  168  168.378774654  3.43738670843  -0.0283536549624
-2.56537109397  222  208  208.136919354  3.36905644984  -0.0115388464292
-2.56537109397  222  247  247.07681602  3.481838864  -0.0256069341593
-2.56537109397  223  285  285.397014526  3.48437837161  -0.0190425065765
-2.56537109397  223  323  322.837722432  3.52602305087  -0.0146544605975
-2.56537109397  223  360  359.501564917  3.4538390881  -0.020037413652
