FPM 106 - Imager
 WL   Unctd Coated
 2.00 0.258 0.363
 2.50 0.265 0.290
 3.00 0.265 0.266
 3.00 0.269 0.269
 3.50 0.282 0.301
 4.00 0.306 0.363
 4.50 0.323 0.418
 5.00 0.330 0.451
 5.50 0.351 0.493
 5.50 0.359 0.504
 6.00 0.393 0.555
 6.00 0.393 0.555
 6.50 0.428 0.599
 7.00 0.424 0.585
 7.50 0.431 0.583
 8.00 0.470 0.623
 8.50 0.487 0.633
 9.00 0.493 0.628
 9.50 0.482 0.602
10.00 0.497 0.612
10.50 0.490 0.593
10.50 0.490 0.593
11.00 0.478 0.571
11.50 0.469 0.554
12.00 0.470 0.548
12.50 0.476 0.550
13.00 0.466 0.533
13.50 0.451 0.511
14.00 0.481 0.541
14.40 0.531 0.593
14.50 0.529 0.591
15.00 0.518 0.575
15.50 0.504 0.555
16.00 0.477 0.523
16.50 0.489 0.534
17.00 0.511 0.554
17.50 0.487 0.526
18.00 0.456 0.491
18.50 0.453 0.486
19.00 0.433 0.462
19.50 0.433 0.461
20.00 0.408 0.433
20.00 0.408 0.433
20.50 0.419 0.444
21.00 0.425 0.449
21.50 0.445 0.469
22.00 0.438 0.460
22.50 0.436 0.457
23.00 0.422 0.442
23.50 0.400 0.418
24.00 0.393 0.410
24.50 0.364 0.379
25.00 0.327 0.340
25.50 0.291 0.302
26.00 0.255 0.264
26.50 0.212 0.219
27.00 0.150 0.155
27.50 0.110 0.113
28.00 0.068 0.070
28.50 0.049 0.050
29.00 0.035 0.036
29.50 0.023 0.024
30.00 0.015 0.015

FPM 105 - SW Spec
 WL   Unctd Coated
 2.00 0.192 0.271
 2.50 0.190 0.207
 3.00 0.190 0.190
 3.00 0.191 0.191
 3.50 0.206 0.220
 4.00 0.227 0.270
 4.50 0.258 0.334
 5.00 0.283 0.387
 5.50 0.323 0.454
 5.50 0.332 0.467
 6.00 0.353 0.498
 6.00 0.356 0.503
 6.50 0.408 0.572
 7.00 0.411 0.567
 7.50 0.439 0.594
 8.00 0.462 0.613
 8.50 0.481 0.624
 9.00 0.485 0.618
 9.50 0.481 0.602
10.00 0.497 0.611
10.50 0.523 0.633
10.50 0.523 0.633
11.00 0.490 0.585
11.50 0.488 0.576
12.00 0.487 0.568
12.50 0.479 0.553
13.00 0.509 0.582
13.50 0.493 0.559
14.00 0.516 0.580
14.40 0.573 0.641
14.50 0.570 0.636
15.00 0.588 0.652
15.50 0.563 0.620
16.00 0.532 0.583
16.50 0.571 0.622
17.00 0.579 0.629
17.50 0.587 0.635
18.00 0.556 0.599
18.50 0.567 0.608
19.00 0.546 0.583
19.50 0.540 0.575
20.00 0.543 0.577
20.00 0.562 0.597
20.50 0.546 0.578
21.00 0.520 0.550
21.50 0.554 0.584
22.00 0.566 0.595
22.50 0.558 0.586
23.00 0.540 0.566
23.50 0.514 0.537
24.00 0.528 0.551
24.50 0.482 0.502
25.00 0.428 0.445
25.50 0.392 0.407
26.00 0.329 0.341
26.50 0.273 0.283
27.00 0.197 0.204
27.50 0.144 0.149
28.00 0.080 0.082
28.50 0.038 0.039
29.00 0.037 0.038
29.50 0.020 0.020
30.00 0.011 0.012

FPM 104 - LW Spec
 WL   Unctd Coated
 2.00 0.258 0.306
 2.50 0.265 0.363
 3.00 0.265 0.284
 3.00 0.269 0.288
 3.50 0.282 0.392
 4.00 0.306 0.322
 4.50 0.323 0.333
 5.00 0.330 0.405
 5.50 0.351 0.491
 5.50 0.359 0.501
 6.00 0.393 0.542
 6.00 0.393 0.542
 6.50 0.428 0.536
 7.00 0.424 0.480
 7.50 0.431 0.454
 8.00 0.470 0.476
 8.50 0.487 0.487
 9.00 0.493 0.497
 9.50 0.482 0.496
10.00 0.497 0.528
10.50 0.490 0.539
10.50 0.490 0.539
11.00 0.478 0.545
11.50 0.469 0.555
12.00 0.470 0.574
12.50 0.476 0.600
13.00 0.466 0.604
13.50 0.451 0.597
14.00 0.481 0.650
14.40 0.531 0.725
14.50 0.529 0.725
15.00 0.518 0.719
15.50 0.504 0.705
16.00 0.477 0.672
16.50 0.489 0.691
17.00 0.511 0.722
17.50 0.487 0.688
18.00 0.456 0.643
18.50 0.453 0.637
19.00 0.433 0.605
19.50 0.433 0.602
20.00 0.408 0.564
20.00 0.408 0.564
20.50 0.419 0.576
21.00 0.425 0.581
21.50 0.445 0.603
22.00 0.438 0.590
22.50 0.436 0.583
23.00 0.422 0.560
23.50 0.400 0.527
24.00 0.393 0.514
24.50 0.364 0.473
25.00 0.327 0.422
25.50 0.291 0.373
26.00 0.255 0.325
26.50 0.212 0.268
27.00 0.150 0.189
27.50 0.110 0.137
28.00 0.068 0.084
28.50 0.049 0.060
29.00 0.035 0.043
29.50 0.023 0.028
30.00 0.015 0.018
