# Band 2A   Etalon 1A   Slice 14
# Distortion map version 06.04.00 - date 2018-10-16
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness
0.0  792  15  14.7708573159  1.65266914251  -0.0115602911785
0.0  793  27  26.8173862915  1.66481140631  0.00202110032289
0.0  793  39  38.8945723757  1.66830246213  0.0300860093997
0.0  794  51  51.1575549933  1.63510697422  0.0765148631785
0.0  794  63  63.3986181082  1.55185283637  0.0530001944513
0.0  795  76  75.771819817  1.59562748213  0.0298844109705
0.0  796  88  88.348740629  1.4672659289  0.136301863984
0.0  796  101  100.798639371  1.54285517223  0.0082104129714
0.0  797  114  113.516984109  1.34484458989  0.0360804479353
0.0  797  126  126.302779968  1.52841784139  0.0963290935985
0.0  798  139  139.185541257  1.6214735552  0.0378086098566
0.0  798  152  152.110426615  1.6450258783  0.0419655013717
0.0  799  165  165.203712854  1.64622066786  0.0382985959861
0.0  799  178  178.346758106  1.60283229687  0.0541455945391
0.0  800  192  191.607870863  1.65937772938  0.0142079024286
0.0  800  205  204.976766442  1.68396880877  0.0419370286588
0.0  800  218  218.4530507  1.60962152831  0.0645482093613
0.0  801  232  232.070925777  1.65266502089  0.103175980727
0.0  801  246  245.691884609  1.59243769761  0.0432802131102
0.0  802  260  259.546766144  1.48600622721  0.0461904007679
0.0  802  273  273.474848591  1.47637891315  0.0896095759159
0.0  802  287  287.47390401  1.49416500479  0.0485525743048
0.0  803  302  301.625872278  1.57332597609  -0.00757377994518
0.0  803  316  315.869342106  1.67750702723  0.00497373057065
0.0  803  330  330.263714322  1.6743684236  0.0425460112982
0.0  804  345  344.750566728  1.71326362959  0.0163322764276
0.0  804  359  359.366245735  1.68914649186  0.0596867665586
0.0  804  374  374.100919306  1.72971624123  0.0852645968962
0.0  804  389  388.919854655  1.73955685322  0.070409727079
0.0  805  404  403.916692844  1.730447174  0.0629805251961
0.0  805  419  419.034242817  1.71475602285  0.0800328510148
0.0  805  434  434.282930239  1.64573059049  0.0947484856751
0.0  805  450  449.5868362  1.6086786068  0.00942514593006
0.0  805  465  465.110292556  1.77444378783  0.0311565601414
0.0  805  481  480.683616643  1.71933465479  -0.013444010797
0.0  805  496  496.474772779  1.70470794592  0.0393989704699
0.0  806  512  512.377476613  1.77463855854  0.0499816841067
0.0  806  528  528.399880734  1.78579099684  0.0674790972036
0.0  806  545  544.539435811  1.75610506707  0.0696388028777
0.0  806  561  560.811905926  1.83344701769  0.042342753657
0.0  806  577  577.317977984  1.67125860745  0.159161908738
0.0  805  594  593.830370794  1.83732009513  0.0388447059587
0.0  805  611  610.565658295  1.77081692093  0.0161348528806
0.0  805  627  627.480714339  1.79690359318  0.0265597303017
0.0  805  645  644.503898362  1.82410424098  -0.0135192659508
0.0  805  662  661.698198575  1.92751793172  -0.0212187200888
0.0  805  679  679.038772727  2.0198871524  -0.00194178948242
0.0  805  697  696.541823188  1.93619672312  0.0199014487192
0.0  804  714  714.199998142  2.05134696829  0.049922723803
0.0  804  732  732.009493709  2.06836657736  0.0535585295523
0.0  804  750  749.958459906  2.10997410054  0.0607441628722
0.0  803  768  768.105784041  2.08828095268  0.0869159376139
0.0  803  786  786.417404853  2.02752033535  0.0949105574305
0.0  802  805  804.85143572  2.11359472589  0.0423695919538
0.0  802  824  823.540544272  2.06421089167  0.0578875528645
0.0  801  842  842.382377044  2.06731431661  0.0450687708039
0.0  801  861  861.413802288  2.17438593134  0.0331505972659
0.0  800  881  880.577324452  2.18820119793  -0.0200995854059
0.0  800  900  899.99498783  2.3576831558  -0.0047116698863
0.0  799  920  919.529738934  2.31236328739  -0.0266035383146
0.0  798  939  939.319170634  2.43154196492  -0.00130659342227
0.0  798  959  959.241237084  2.50295837393  -0.00915376465227
0.0  797  979  979.400379618  2.49538673643  0.0119758979968
0.0  796  1000  999.712318591  2.54101588643  0.0084993983383
-1.31357763906  799  15  15.3861429698  1.67843802745  0.058835727909
-1.31357763906  799  27  27.3547212636  1.67403102332  0.0704515948315
-1.31357763906  800  39  39.4683202811  1.61087099894  0.0391734123558
-1.31357763906  801  52  51.6848122743  1.71023990949  0.0792283364373
-1.31357763906  801  64  63.9127434482  1.678988933  0.0564895310793
-1.31357763906  802  76  76.3638499421  1.50590501355  0.126428392193
-1.31357763906  802  89  88.716911857  1.54511290989  0.0234251535919
-1.31357763906  803  101  101.377171144  1.50012684597  0.113668821308
-1.31357763906  803  114  113.962167026  1.63370442457  0.0462035984851
-1.31357763906  804  127  126.721308517  1.55070563637  -0.00427198029776
-1.31357763906  804  140  139.563901635  1.53607106179  0.00385409484809
-1.31357763906  805  153  152.560317591  1.54752716142  0.00275682996565
-1.31357763906  805  166  165.572072345  1.63651277292  -0.0143168196006
-1.31357763906  806  179  178.775643051  1.67054484803  0.0125927048816
-1.31357763906  806  192  192.032627944  1.71938269716  0.05482811455
-1.31357763906  807  205  205.429509443  1.63671505541  0.0491816711087
-1.31357763906  807  219  218.840160079  1.68167543524  0.0344337360569
-1.31357763906  808  232  232.480248815  1.5149396284  0.0956929541742
-1.31357763906  808  246  246.169962774  1.63385922926  0.122053950533
-1.31357763906  808  260  259.909864091  1.65715290628  0.0700492568809
-1.31357763906  809  274  273.84059196  1.61898263653  0.0364240382652
-1.31357763906  809  288  287.838958803  1.64094629477  0.0292879443868
-1.31357763906  809  302  301.980355112  1.68308127597  0.0365552629405
-1.31357763906  810  316  316.284085733  1.64222408854  0.0553702699339
-1.31357763906  810  331  330.593004115  1.66479501365  0.0168211431394
-1.31357763906  810  345  345.078188976  1.76952498267  0.0389356760883
-1.31357763906  811  360  359.707468838  1.72292482944  0.0485144603595
-1.31357763906  811  374  374.430380083  1.67040890792  0.0799513943785
-1.31357763906  811  389  389.271749001  1.68027449915  0.113361945038
-1.31357763906  811  404  404.23628466  1.67887849439  0.124949028419
-1.31357763906  811  419  419.305901363  1.65738013626  0.0793238909685
-1.31357763906  812  435  434.537955467  1.57964081838  0.0386167975347
-1.31357763906  812  450  449.872022184  1.73553377124  0.00515977944577
-1.31357763906  812  465  465.385784716  1.6988183116  0.044248942077
-1.31357763906  812  481  480.95519104  1.81923409866  -0.00857924829743
-1.31357763906  812  497  496.6851467  1.79047898718  -0.00999881281681
-1.31357763906  812  513  512.567633079  1.7871462983  0.0257971867068
-1.31357763906  812  529  528.57733267  1.7771751521  0.0404138336195
-1.31357763906  812  545  544.707198422  1.83341564337  0.0414810133536
-1.31357763906  812  561  561.018624103  1.86045505141  0.0823112612046
-1.31357763906  812  577  577.455404001  1.7450483335  0.0921663533907
-1.31357763906  812  594  594.037538768  1.84722499733  0.0617733082662
-1.31357763906  812  611  610.73231835  1.83319288036  0.000114426710529
-1.31357763906  812  628  627.628054399  1.82769782362  -0.000516273397297
-1.31357763906  812  645  644.655480684  1.85719437396  -0.0207367163777
-1.31357763906  812  662  661.839093415  1.95600368607  -0.0231921785623
-1.31357763906  811  679  679.174002233  2.01580409955  0.0136847397596
-1.31357763906  811  697  696.630194921  1.98144553396  -0.00226430878881
-1.31357763906  811  714  714.299052925  2.01622825033  0.0424422835571
