# Band 2B   Etalon 1A   Slice 1
# Distortion map version 06.04.00 - date 2018-10-09
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness        wavelength
0.0  530  14  13.9608968529  1.87966073849  -0.0382847669611  8.6222489842
0.0  530  28  28.3507414792  1.81186055276  -0.0268458787722  8.64579769721
0.0  531  43  42.7689394548  1.86587937439  -0.0999118532874  8.66946798634
0.0  532  57  57.365133706  1.90672880667  -0.035918004578  8.69327018462
0.0  532  72  72.111530679  2.00960434646  -0.0320793068646  8.71719447832
0.0  533  87  86.9118895365  2.01787020667  -0.0485619481868  8.74126102533
0.0  533  102  101.933871656  2.04670311171  -0.0211958343436  8.76544965206
0.0  534  117  117.06269625  2.09475568209  0.00656542432987  8.78977506185
0.0  535  132  132.342698341  2.1198771795  0.067071855614  8.81422961945
0.0  535  148  147.738939649  2.13201750765  0.0259432263926  8.83881966644
0.0  536  163  163.311704087  2.15479874721  0.065070437608  8.86354920752
0.0  536  179  179.003627221  2.21561486574  0.0305337384791  8.88841719494
0.0  537  195  194.817459348  2.14608708773  0.0178499679983  8.91341697961
0.0  537  211  210.815444258  2.19421007335  -0.00818298364728  8.93856505757
0.0  538  227  226.910040754  2.1931999071  -0.0161259245296  8.96384090218
0.0  538  243  243.208173516  2.22685028929  -0.0141373715947  8.98926511398
0.0  538  260  259.600766637  2.07816741412  -0.0324003870212  9.01482493681
0.0  539  276  276.148941793  2.29600104264  -0.0151864477056  9.04054287768
0.0  539  293  292.853236449  2.3462038187  -0.0315277592368  9.06638576845
0.0  540  310  309.677385781  2.37996385538  -0.0180445882818  9.09238673277
0.0  540  327  326.717896348  2.38770832826  0.00665829598717  9.1185359812
0.0  540  344  343.93065019  2.52830888987  0.0371737142536  9.14482178735
0.0  541  361  361.272389615  2.50287848565  0.0659793556571  9.17127294022
0.0  541  379  378.781434265  2.627602677  0.060229234042  9.19785739416
0.0  541  397  396.493791647  2.58259899655  0.0674709051775  9.22461180507
0.0  541  414  414.389005741  2.64161246847  0.0642850019259  9.25149639154
0.0  541  432  432.443504754  2.59930163729  0.0336594420839  9.27854999638
0.0  542  451  450.555762362  2.71251022254  -0.0121740976907  9.30573300994
0.0  542  469  468.934415235  2.7988548888  -0.0337188678352  9.33311018298
0.0  542  487  487.479298923  2.86155251016  -0.0298860288932  9.36061445601
0.0  542  506  506.205253561  2.95285901474  -0.0144343011488  9.38829415438
0.0  542  525  525.104341291  3.00918897406  0.00328292284699  9.41613192493
0.0  542  544  544.156191023  3.10558748922  0.036398892695  9.44412077948
0.0  542  563  563.393465985  3.2206957422  0.0537380777371  9.47228492235
0.0  542  583  582.844270922  3.38141802263  0.0667933760695  9.50058117645
0.0  542  602  602.495384697  3.57887910199  0.0643807406486  9.52908447367
0.0  542  622  622.367705732  3.74426314426  0.0483048482147  9.55770433721
0.0  541  643  642.555591662  3.959229534  0.00925009721297  9.58655330267
0.0  541  663  662.840049848  4.09312141754  -0.01408689973  9.61548879401
0.0  541  683  683.316930623  4.23393039315  -0.0245047823515  9.64467737499
0.0  541  704  703.955151687  4.3004418593  -0.0371417993861  9.67395146768
0.0  540  725  724.923795878  4.35558625943  -0.0301338686534  9.70345189188
0.0  540  746  745.95098144  4.45367507497  -0.0172741728589  9.73308412185
0.0  540  767  767.165380881  4.61166810058  -0.00167925747354  9.76291476558
0.0  539  789  788.702055118  4.80167200323  0.0116619166899  9.7929197838
0.0  539  810  810.301144385  5.14950984363  0.0276198790715  9.82307176939
0.0  538  832  832.262034481  5.58061359001  0.0382820752625  9.85345212306
0.0  537  855  854.33637418  6.17684830847  0.0309681972609  9.88392651603
0.0  537  877  876.669445803  6.73318180572  0.0345241260794  9.9146848532
0.0  536  900  899.344675837  7.70178915815  0.0239537013693  9.94546447186
0.0  535  922  922.345804394  9.17470251872  0.0368753899176  9.97662176083
0.0  535  946  945.537817425  9.94349392576  0.0142858217063  10.0077831653
0.0  534  969  969.004128523  11.2854271765  0.0110418524235  10.0392307735
0.0  533  993  992.895170502  11.986057089  -4.65600677055e-06  10.0707842637
0.0  532  1017  1017.77219951  0.139649514554  0.117823565685  10.102519212
-1.84584818512  540  14  13.5418788304  1.69467037822  -0.0586405655644  8.6222489842
-1.84584818512  541  28  27.8731304025  1.84571843247  -0.0417084228341  8.64579769721
-1.84584818512  541  42  42.3564742354  1.82356342591  -0.0191849435729  8.66946798634
-1.84584818512  542  57  56.8756980933  1.90753950328  -0.0809537044145  8.69327018462
-1.84584818512  543  72  71.6102876842  2.00092659919  0.0682961066713  8.71719447832
-1.84584818512  543  86  86.4772395832  1.89515452526  0.00450406655059  8.74126102533
-1.84584818512  544  101  101.435271476  1.94660866808  0.00224458114628  8.76544965206
-1.84584818512  544  117  116.562818662  1.96943351172  0.0326504576823  8.78977506185
-1.84584818512  545  132  131.77470867  2.02553249667  0.0052727262039  8.81422961945
-1.84584818512  545  147  147.222158962  2.11216491412  0.0673782736777  8.83881966644
-1.84584818512  546  163  162.690662186  2.05031311365  0.00331655098207  8.86354920752
-1.84584818512  546  178  178.46413627  1.91408369614  0.261282516302  8.88841719494
-1.84584818512  547  194  194.233427302  2.14768016406  0.0474328144693  8.91341697961
-1.84584818512  547  210  210.227855558  2.16073490908  0.0782883281948  8.93856505757
-1.84584818512  548  226  226.288148465  2.12164947023  0.0278830867418  8.96384090218
-1.84584818512  548  243  242.535990499  2.08364370851  -0.00169705635764  8.98926511398
-1.84584818512  549  259  258.844698896  2.17021697588  -0.0452915492691  9.01482493681
-1.84584818512  549  275  275.456149818  2.17787551793  0.00152318844934  9.04054287768
-1.84584818512  550  292  292.124917433  2.31684409736  0.152331119714  9.06638576845
-1.84584818512  550  309  308.93044326  2.31207539001  -0.0111048043187  9.09238673277
-1.84584818512  550  326  325.96976576  2.4267960235  0.0117291047588  9.1185359812
-1.84584818512  551  343  343.127529647  2.52611270755  0.211003246712  9.14482178735
-1.84584818512  551  360  360.455206364  2.39476779561  0.0579171172935  9.17127294022
-1.84584818512  551  378  377.96120297  2.561692665  0.0617274527687  9.19785739416
-1.84584818512  551  396  395.631102979  2.5819645144  0.0452968086473  9.22461180507
-1.84584818512  552  413  413.43354773  2.76053145928  0.216057342848  9.25149639154
-1.84584818512  552  431  431.430109493  2.6381783698  0.0399980126016  9.27854999638
-1.84584818512  552  450  449.602445834  2.65147898326  -0.014213522584  9.30573300994
-1.84584818512  552  468  467.967618802  2.77609216501  -0.0190895681026  9.33311018298
-1.84584818512  552  487  486.509247488  2.75666305749  -0.0228644693208  9.36061445601
-1.84584818512  552  505  505.230079268  2.90524957695  -0.00809047113544  9.38829415438
-1.84584818512  552  524  524.101808334  2.98486695634  0.0103529828242  9.41613192493
-1.84584818512  552  543  543.138300532  3.13288308548  0.0283037750883  9.44412077948
-1.84584818512  552  562  562.369703048  3.14313920155  0.0606435152475  9.47228492235
-1.84584818512  552  582  581.767017938  3.37345467313  0.0474811678759  9.50058117645
-1.84584818512  552  601  601.427935619  3.47253638582  0.0629903423562  9.52908447367
-1.84584818512  552  621  621.232409175  3.62191269049  0.0518029340754  9.55770433721
-1.84584818512  552  641  641.278725078  3.85848376315  0.0535448913157  9.58655330267
-1.84584818512  552  662  661.402089778  4.59728473198  -0.0952649279317  9.61548879401
-1.84584818512  551  682  682.121621708  4.14187309304  -0.0148742046707  9.64467737499
-1.84584818512  551  703  702.696211884  4.26333028971  -0.0162172349918  9.67395146768
-1.84584818512  551  723  723.517677185  4.5294773274  0.0156678190233  9.70345189188
-1.84584818512  550  745  744.673930718  4.48505581335  -0.0187715690615  9.73308412185
-1.84584818512  550  766  765.895280556  4.6544591584  0.0215721317464  9.76291476558
-1.84584818512  549  787  786.203102682  0.201285770985  -10.153034993  9.7929197838
-1.84584818512  549  809  808.994267735  5.23024983642  0.0426961839739  9.82307176939
-1.84584818512  548  831  830.921928205  4.94894554639  -0.0574087291181  9.85345212306
-1.84584818512  548  853  852.968268458  6.01955702633  0.0647977692846  9.88392651603
-1.84584818512  547  875  875.325490485  6.73602478964  0.0459062235868  9.9146848532
-1.84584818512  546  898  898.540011013  6.97470357478  0.0255733222073  9.94546447186
-1.84584818512  546  921  920.594337874  8.60579527796  0.0285476277872  9.97662176083
-1.84584818512  545  944  944.007528185  9.23896669036  0.0561899696377  10.0077831653
-1.84584818512  544  968  968.31982879  0.494655471327  -4.63750868474  10.0392307735
-1.84584818512  543  991  991.222317963  10.5754880677  0.00504363194349  10.0707842637
-1.84584818512  542  1015  1015.43097281  9.77224103318  0.0758195471951  10.102519212
-1.68414818512  539  14  13.5805439419  1.73628355483  -0.0324570919536  8.6222489842
-1.68414818512  540  28  27.8860775891  1.88211419676  -0.056135646664  8.64579769721
-1.68414818512  540  42  42.4018825632  1.82248855301  -0.0120200856464  8.66946798634
-1.68414818512  541  57  56.9194622725  1.95878067445  -0.0640563661748  8.69327018462
-1.68414818512  542  72  71.6170220404  1.91978569536  -0.0521536637698  8.71719447832
-1.68414818512  542  87  86.4976998439  1.91526442919  -0.0132808797424  8.74126102533
-1.68414818512  543  101  101.46334096  1.97226283893  0.00917217912117  8.76544965206
-1.68414818512  543  117  116.602753994  1.98009773043  0.0310685394525  8.78977506185
-1.68414818512  544  132  131.813613578  2.0703065056  0.0129645751573  8.81422961945
-1.68414818512  545  147  147.229684971  2.07950871268  0.0578917688137  8.83881966644
-1.68414818512  545  163  162.758610016  2.10368664819  0.0326960882854  8.86354920752
-1.68414818512  546  178  178.444297582  2.06466907954  0.0724025102793  8.88841719494
-1.68414818512  546  194  194.301846544  2.13960629662  0.061443937362  8.91341697961
-1.68414818512  547  210  210.222192771  2.14940464664  0.0405458341524  8.93856505757
-1.68414818512  547  226  226.353515288  2.12201456343  0.0324763900369  8.96384090218
-1.68414818512  547  243  242.602768072  2.10386777467  -0.00271691797052  8.98926511398
-1.68414818512  548  259  258.925726864  2.24523293798  -0.0319110847245  9.01482493681
-1.68414818512  548  276  275.511603305  2.19895751093  -0.0213191869771  9.04054287768
-1.68414818512  549  292  292.163046775  2.32298414521  0.0123066553513  9.06638576845
-1.68414818512  549  309  309.039944194  2.37671661735  0.0114315191438  9.09238673277
-1.68414818512  549  326  326.064424987  2.43479650337  0.0302341873093  9.1185359812
-1.68414818512  550  343  343.181262406  2.46450661695  0.048646067318  9.14482178735
-1.68414818512  550  361  360.52221265  2.45083231879  0.0525593412299  9.17127294022
-1.68414818512  550  378  378.059029168  2.6103504156  0.0757827100772  9.19785739416
-1.68414818512  550  396  395.726466524  2.61510804879  0.0499276153682  9.22461180507
-1.68414818512  551  414  413.522076628  2.59823692866  0.0502986863165  9.25149639154
-1.68414818512  551  432  431.534700365  2.62166087773  0.00828183398569  9.27854999638
-1.68414818512  551  450  449.727198565  2.69083126682  -0.0123430313341  9.30573300994
-1.68414818512  551  468  468.09158762  2.78074645163  -0.0186452818887  9.33311018298
-1.68414818512  551  487  486.612304564  2.77266897371  -0.0341768251825  9.36061445601
-1.68414818512  551  505  505.327895682  2.89615999212  -0.0121411160597  9.38829415438
-1.68414818512  551  524  524.213059616  2.97624303971  0.0155686640222  9.41613192493
-1.68414818512  551  543  543.233404301  3.10491816409  0.0253069220937  9.44412077948
-1.68414818512  551  562  562.470262529  3.18265164374  0.0662638319333  9.47228492235
-1.68414818512  551  582  581.879701113  3.38649608353  0.0540296207895  9.50058117645
-1.68414818512  551  602  602.816459167  0.20572557496  9.59619699679  9.52908447367
-1.68414818512  551  621  621.391672448  3.70955253851  0.0425307488067  9.55770433721
-1.68414818512  551  641  641.437073339  3.90714109949  0.0244550837403  9.58655330267
-1.68414818512  551  662  661.673922786  4.01460462526  -0.00791623590604  9.61548879401
-1.68414818512  550  682  682.237390503  4.18270409971  -0.0257792664471  9.64467737499
-1.68414818512  550  703  702.856076784  4.26887978041  -0.0350593736385  9.67395146768
-1.68414818512  550  724  723.667955907  4.41652300775  -0.0340972892121  9.70345189188
-1.68414818512  549  745  744.836961073  4.47123958342  -0.0158326117676  9.73308412185
-1.68414818512  549  766  766.004521874  4.6724601833  -0.00256945281115  9.76291476558
-1.68414818512  549  787  787.415308305  5.0166539919  0.0022933009957  9.7929197838
-1.68414818512  548  809  809.117012274  5.21554609242  0.0286226112465  9.82307176939
-1.68414818512  548  831  830.959900504  5.74112529902  0.0256656913785  9.85345212306
-1.68414818512  547  853  853.072798717  6.08178280067  0.0357070335412  9.88392651603
-1.68414818512  546  875  875.458297903  6.80066137578  0.0438869044084  9.9146848532
-1.68414818512  546  898  898.052258261  7.78931734462  0.0288558540048  9.94546447186
-1.68414818512  545  921  920.951036204  8.73746490308  0.0257870642762  9.97662176083
-1.68414818512  544  944  944.150330355  9.87291864671  0.0228709683748  10.0077831653
-1.68414818512  543  968  967.640665958  10.5251458471  0.00885666632243  10.0392307735
-1.68414818512  542  991  991.588328928  11.7803969407  0.0113634550945  10.0707842637
-1.68414818512  541  1016  1017.78514263  0.178323418595  12.1322228935  10.102519212
-1.52244818512  538  14  13.6214052489  1.74806341481  -0.0525303166277  8.6222489842
-1.52244818512  539  28  27.932900919  1.88823885328  -0.0531043337427  8.64579769721
-1.52244818512  539  42  42.4318640072  1.78321312521  -0.016115149169  8.66946798634
-1.52244818512  540  57  56.98489787  1.94329200705  -0.0537091642671  8.69327018462
-1.52244818512  541  72  71.6686362726  1.90337381228  -0.051333891635  8.71719447832
-1.52244818512  541  87  86.5450559057  1.89517683585  -0.0190219782919  8.74126102533
-1.52244818512  542  102  101.501329564  1.97031108212  -0.0103103451346  8.76544965206
-1.52244818512  543  117  116.59679025  1.9376521711  0.0041520675228  8.78977506185
-1.52244818512  543  132  131.86947102  2.09812711261  0.0225722556473  8.81422961945
-1.52244818512  544  147  147.283735  2.12290301948  0.0670075264507  8.83881966644
-1.52244818512  544  163  162.817023301  2.11300760098  0.0352916108705  8.86354920752
