# Band 2B   Etalon 1B   Slice 11
# Distortion map version 06.04.00 - date 2018-10-09
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness
0.0  616  6  6.18771855542  1.70585854861  0.0365261004042
0.0  617  18  18.3700616052  1.67401553846  0.00370147478615
0.0  618  31  30.6087246186  1.64113727493  -0.0401914047515
0.0  618  43  43.060213304  1.67868676624  -0.0108919183707
0.0  619  56  55.5209881992  1.54000913537  -0.0166413856216
0.0  619  68  68.1721759643  1.63834053603  0.0468928350554
0.0  620  81  80.7692024417  1.61679752805  -0.0216506237516
0.0  620  94  93.6014064372  1.54169782578  -0.00502625825608
0.0  621  106  106.48210558  1.50047197422  0.0660763969744
0.0  621  119  119.497057768  1.57974665799  0.0422041541723
0.0  622  133  132.540066619  1.59994606212  0.0316115800266
0.0  622  146  145.76295098  1.72541102173  0.0301336576106
0.0  623  159  159.062053115  1.74185912434  0.0471451120985
0.0  623  172  172.477152848  1.69594722392  0.0188499856463
0.0  624  186  185.961323956  1.78832539733  0.0106010352411
0.0  624  200  199.58878978  1.74870597774  -0.0221377897022
0.0  625  213  213.307355029  1.66755875079  -0.018430379604
0.0  625  227  227.152384817  1.75425567974  -0.00758290930441
0.0  625  241  241.108803733  1.730304074  0.00304256318556
0.0  626  255  255.119246689  1.73145882982  0.00928376369422
0.0  626  269  269.319931465  1.6415258339  0.0390063693685
0.0  626  284  283.577178373  1.66161114952  -0.00174963188794
0.0  627  298  297.957257563  1.75920612977  0.0434230680154
0.0  627  312  312.485170526  1.64386775883  0.0568406199404
0.0  627  327  327.172632933  1.7414145572  0.0783159897231
0.0  628  342  341.8364389  1.79855616089  0.0428945288344
0.0  628  357  356.71539138  1.79552863892  0.0258227280822
0.0  628  372  371.75277151  1.83612989817  0.0366464017781
0.0  628  387  386.910110335  1.86406289641  0.0337037232605
0.0  628  402  402.213417532  1.8521632797  0.0537629419022
0.0  629  417  417.491488415  1.85228298055  0.00763341097921
0.0  629  433  433.017541698  1.90079739941  -0.00422935325185
0.0  629  449  448.671441547  1.87200590094  -0.0164375928013
0.0  629  464  464.455160517  1.82158572939  -0.00138305120733
0.0  629  480  480.404012013  1.82911496052  0.0122846362839
0.0  629  496  496.434521806  1.81233278727  0.00350774866113
0.0  629  513  512.602401793  1.83079472723  -0.0126741378348
0.0  629  529  528.938040526  1.90194851597  0.00609792571324
0.0  629  545  545.418195075  1.82183344415  0.017625094923
0.0  629  562  562.022519497  1.94166313228  0.0205137401394
0.0  629  579  578.72829844  1.85864860004  -0.00891591321039
0.0  629  596  595.626912379  1.86454907814  0.00350523309484
0.0  629  613  612.667015333  1.86187721329  0.023416984472
