# Band 2C   Etalon 1A   Slice 10
# Distortion map version 06.04.00 - date 2018-10-14
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness        wavelength
0.0  561  13  12.9111124527  5.80820171073  0.0131667503684  10.0077831653
0.0  561  29  29.2884563415  6.24925866851  0.0144141370943  10.0392307735
0.0  562  46  45.7599530418  6.58934454244  -0.0186053697673  10.0707842637
0.0  563  62  62.3988120247  6.76049827153  0.000989133634796  10.102519212
0.0  564  79  79.0916527022  6.82034656458  -0.0285242336503  10.1345415438
0.0  564  96  96.0875463654  6.99003066003  -0.0176889926243  10.166532512
0.0  565  113  113.023273171  7.19252181964  -0.0161402700312  10.1989405749
0.0  566  130  130.156152946  7.38472992941  -0.00857789619806  10.2313454729
0.0  566  147  147.517526346  7.89488843915  0.0199430802238  10.2640498053
0.0  567  165  164.826221153  8.08975892295  0.00814013674412  10.2968747211
0.0  567  182  182.36464235  8.92764708925  0.0262443236362  10.3299805801
0.0  568  200  199.978687951  9.91102192802  0.0164651000482  10.363045187
0.0  569  218  217.686776253  11.0307806234  0.00860000897279  10.3963582743
0.0  569  236  235.705743815  12.5585820647  0.00542618172084  10.4300757237
0.0  569  254  253.833987149  14.3550470367  0.0122184946967  10.4635441519
0.0  570  272  272.177232469  16.876172605  0.0217705958825  10.4977011237
0.0  570  291  290.715948658  19.9336876581  0.00851608548341  10.5315930132
0.0  571  310  309.495801483  23.8169907509  -0.00643923569737  10.5655588178
0.0  571  329  329.062688163  30.3189849749  0.0168435524982  10.6001125964
0.0  572  349  349.207365301  34.3936864798  0.0144544941781  10.634602649
0.0  572  369  369.261931368  0.437811248494  0.0262054912252  10.6694720941
0.0  572  389  389.488789634  27.3633561271  0.0381936671487  10.7038116596
0.0  572  408  409.645008845  0.734465702629  0.0916973108148  10.7391859394
0.0  573  429  428.938359423  23.0305322768  0.0259311071366  10.7746298084
0.0  573  449  448.892090874  20.9530882505  0.0246943216605  10.8095561549
0.0  573  469  468.957299834  19.3616176432  0.0235359966077  10.8455927128
0.0  573  489  489.187859963  0.218934629374  0.0295275140084  10.8814795666
0.0  573  509  509.731914456  17.4179579624  0.0420505894233  10.9167579858
0.0  573  530  530.299192815  16.9110580918  0.0345556198571  10.9540712814
0.0  573  551  551.088808924  17.0897725971  0.0236069631081  10.9905026404
0.0  573  572  572.169734889  17.3283409519  0.0256621832555  11.0277185253
0.0  573  593  593.827037151  18.9363997154  0.0398180869553  11.0650890446
0.0  573  615  615.551764212  20.2545521251  0.0332668125624  11.1021456555
0.0  573  638  637.663792283  22.6489939866  0.00984758385962  11.1405713667
0.0  573  660  660.37868149  26.384471623  0.0247228399549  11.179080514
0.0  572  684  683.84305472  27.2137353114  0.022851225512  11.2170984055
