# Band 2C   Etalon 1A   Slice 5
# Distortion map version 06.04.00 - date 2018-10-10
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness
0.0  762  9  8.71783942667  5.86237709866  -0.00754472320694
0.0  763  25  24.7517820635  6.20377240718  -0.0220677768339
0.0  764  41  40.9783244292  6.42484722146  -0.0177803989787
0.0  765  57  57.3233763891  6.65654407633  -0.00743465496103
0.0  766  74  73.7566275542  6.82427856873  -0.0221174275195
0.0  766  90  90.2863669573  7.1588724027  -0.0012613038476
0.0  767  107  107.01510997  7.4285401159  -0.00596878712248
0.0  768  124  123.873217218  7.829770377  -0.00360307668253
0.0  768  141  140.803400808  8.38721119659  0.00171102324652
0.0  769  158  157.941296183  9.07901906607  0.0154910240813
0.0  770  175  175.201252551  10.4120872072  0.0212470143045
0.0  770  193  192.506867118  11.0851991199  0.00136188014992
0.0  771  210  210.147350744  13.4477397202  0.0229565284569
0.0  771  228  227.91681574  15.6045061239  0.0141281777534
0.0  772  246  245.968204145  18.2895010211  0.0117735959823
0.0  772  265  264.020330603  21.4815769235  -0.0279079593469
0.0  773  283  282.986754805  24.3645324646  0.0123077384181
0.0  773  302  302.331432629  26.821176612  0.0295211210824
0.0  774  321  321.354038352  25.7182993214  0.0178913614084
0.0  774  339  340.741113622  0.773675538275  0.0890330617465
0.0  774  359  359.443083701  25.3881149153  0.0335426927005
0.0  775  379  378.21918195  21.1923720814  -0.00738822760092
0.0  775  397  397.591914004  21.5395448257  0.0452851834194
0.0  775  417  416.675046032  18.8222978487  0.0151290966376
0.0  775  436  436.120500038  18.8474354277  0.0332447409804
0.0  776  456  455.564243701  17.5862749376  0.0102178750618
0.0  776  475  475.578516409  18.1445944427  0.0432397332977
0.0  776  495  495.648777668  18.5701859834  0.0466202743781
0.0  776  516  515.863794931  19.167329484  0.0162816049575
0.0  776  537  536.333768772  20.0048584853  0.00288345167631
0.0  776  558  557.427218953  21.4034983302  0.00355330299088
0.0  776  579  578.885540777  25.0849286846  0.0141557616578
0.0  776  602  600.516006822  26.2777762336  -0.0226828980126
0.0  776  625  622.937841744  29.184658907  -0.0275915149174
0.0  775  647  646.688034481  29.5546746027  0.0270320716139
0.0  775  670  670.224999619  27.0841220481  0.0289245783582
0.0  775  693  693.801978227  24.5677361921  0.0447791932443
0.0  774  717  716.970925846  19.762134073  0.0174914399714
0.0  774  740  740.667722341  0.221905911166  0.0299133222872
0.0  774  764  764.438731935  16.3831663271  0.0197941414873
0.0  773  788  788.548096821  15.0045357001  0.0189830188664
0.0  772  813  812.921239714  14.0412696235  0.00925755255068
0.0  772  837  837.526849181  13.0698498171  0.0176227253447
0.0  771  862  862.519402001  12.8978081583  0.0186531740803
0.0  770  888  887.672697136  12.2717105584  0.0205488470235
0.0  769  913  913.601960903  12.2900786046  0.0178432156321
0.0  768  940  939.631460029  12.8210217473  0.0139450576916
0.0  767  966  966.102994725  12.9790371422  0.0296497728383
0.0  766  993  993.135253056  12.8134663082  0.0270116423368
-1.84647493417  772  9  9.30552753211  5.7982554469  0.00522446396917
-1.84647493417  773  25  25.2984353707  6.3156304271  0.012008417416
-1.84647493417  773  41  41.4336311418  6.17972060412  0.0131696099527
-1.84647493417  774  58  57.7218635857  6.54179956914  -0.0274169265698
-1.84647493417  775  74  74.1612460676  6.82830133959  -0.0219681712729
-1.84647493417  776  91  90.7212170527  7.31369979556  -0.0113713757787
-1.84647493417  776  107  107.424712101  7.10973291378  0.0327039873147
-1.84647493417  777  124  124.288188609  7.86317592461  0.00967411464801
-1.84647493417  778  141  141.291115589  8.58249956676  0.0218590867055
-1.84647493417  778  158  158.332751635  8.83011250607  0.0466450734322
-1.84647493417  779  175  175.64173372  10.587941406  0.0333184474712
-1.84647493417  780  193  192.69553245  12.9713015412  0.00188041198195
-1.84647493417  780  211  210.449429603  13.7126431568  -0.0103167052919
-1.84647493417  781  229  228.653913716  17.5751475787  0.0127318664739
-1.84647493417  781  247  246.301239634  18.6577716466  -0.0185097264435
-1.84647493417  782  265  265.487506968  22.2582442626  0.0357613133814
-1.84647493417  782  283  283.614292219  26.0875102805  0.0172890755972
-1.84647493417  783  303  302.438472779  0.436032513178  0.042748447671
-1.84647493417  783  321  321.636555356  0.287570127386  0.0231157546443
-1.84647493417  783  340  340.220844562  20.8048101752  0.0809556711807
-1.84647493417  784  359  359.607047077  23.4047559944  0.0129749478674
-1.84647493417  784  379  378.41211899  20.8321536636  -0.00867252049626
-1.84647493417  784  397  397.693247509  21.4884571474  0.0423552863594
-1.84647493417  785  417  416.980184702  20.8011392992  0.0402438824084
-1.84647493417  785  436  436.29160916  0.229875815403  0.0296615530449
-1.84647493417  785  455  455.860443345  19.4805845972  0.0521425680981
-1.84647493417  785  476  475.420163302  18.9699563763  0.00460552872278
-1.84647493417  785  496  495.532816585  19.1001315618  0.0107781996522
-1.84647493417  785  516  515.908645476  20.0305740115  0.0199594634898
-1.84647493417  785  536  536.608476638  21.9501298814  0.0396154394944
-1.84647493417  785  558  557.39480143  21.7860131771  0.00237870473767
-1.84647493417  785  579  578.879435862  25.8999725046  0.0166695369278
-1.84647493417  785  601  600.86239964  27.6821941273  0.0179488501356
-1.84647493417  785  624  623.451813903  29.0159094932  0.0236189036313
-1.84647493417  785  647  646.271828573  29.2141869178  0.0309764537583
-1.84647493417  785  670  669.076300311  30.8895579423  -0.0259636291402
-1.84647493417  784  693  693.371244369  23.2688613176  0.0454647602065
-1.84647493417  784  716  716.826815622  22.180438677  0.0611598586078
-1.84647493417  783  742  741.796896544  18.7259291021  0.0172819739133
-1.84647493417  783  764  764.054763364  16.9864169912  0.0308092275267
-1.84647493417  782  790  789.183255844  16.2772543283  0.0117619705041
-1.84647493417  782  812  812.457379898  0.169175251386  0.0377198369462
-1.84647493417  781  837  837.01270677  12.5201701213  -0.00709497719567
-1.84647493417  780  864  863.056670165  13.9349808377  0.021356538304
-1.84647493417  780  887  886.958574116  13.157143572  0.0260653492199
-1.84647493417  779  913  912.946702042  12.6745066208  0.0244401962195
-1.84647493417  778  939  939.060849669  0.158018377193  0.0439159155181
-1.84647493417  777  966  965.497083425  13.4097950135  0.025759125598
-1.84647493417  776  992  992.248716534  14.149680113  0.0270606364668
-1.66860493417  771  9  9.21494763108  5.85881958928  0.00435704607482
-1.66860493417  772  25  25.2594259333  6.0923088803  -0.00539363531543
-1.66860493417  772  41  41.3803228409  6.40950488706  -0.000539540632705
-1.66860493417  773  58  57.6632910888  6.70101191661  -0.0356465112521
-1.66860493417  774  74  74.1364949049  6.87714728231  -0.0148975606775
-1.66860493417  775  91  90.6855939261  7.11986369887  -0.0185361963244
-1.66860493417  775  107  107.442238984  7.44893658107  0.00807873311252
-1.66860493417  776  124  124.263613634  7.78561884094  0.012333302501
-1.66860493417  777  141  141.216067263  8.37223863801  0.0176761444623
-1.66860493417  777  158  158.28770052  9.14924046497  0.0225590554226
-1.66860493417  778  175  175.546453954  10.4622222209  0.0384752835796
-1.66860493417  779  193  192.936786785  11.8005454514  0.0183900900966
-1.66860493417  779  211  210.333358195  12.8160801139  -0.0058688202764
-1.66860493417  780  228  228.303909499  15.7450389108  0.0246629655148
-1.66860493417  780  247  246.083179173  18.694405113  -0.0192965280772
-1.66860493417  781  265  264.489392057  21.2791173975  -0.012131416506
-1.66860493417  781  283  283.199281068  25.0217976876  0.0196002981799
-1.66860493417  782  302  302.356681778  26.2960532629  0.0286774965463
-1.66860493417  782  321  321.5020642  25.2016100583  0.0308689759056
-1.66860493417  783  340  340.547745666  24.8907151339  0.0412254284465
-1.66860493417  783  359  359.647303591  24.8305848341  0.0419440604507
-1.66860493417  783  379  378.384650331  20.5944085596  -0.00044413201664
-1.66860493417  783  397  397.68336876  21.1065364153  0.046002915578
-1.66860493417  784  417  416.752269114  19.3939798297  0.0198934647478
-1.66860493417  784  436  436.294661821  19.5908724715  0.0375892139357
-1.66860493417  784  456  455.658399945  17.9773838366  0.0161891516113
-1.66860493417  784  475  475.715039746  18.6364792444  0.0456054818606
-1.66860493417  784  496  495.468449217  18.4577526278  0.00812264204215
-1.66860493417  784  516  515.886860321  19.2493453482  0.0185662896139
-1.66860493417  784  537  536.351043789  20.2454527551  0.00233565639378
-1.66860493417  784  557  557.617030539  22.8600794605  0.0353723267359
-1.66860493417  784  579  578.846691629  25.094282453  0.0122932849655
-1.66860493417  784  601  600.951188969  0.331199333087  0.0191873908436
-1.66860493417  784  624  623.353456133  29.8281097843  0.0170900385202
-1.66860493417  784  647  646.487577567  29.8089952522  0.0235252899146
-1.66860493417  784  670  670.157934706  26.5139899642  0.0343612893336
-1.66860493417  783  693  693.575987713  24.7638779616  0.0422242588678
-1.66860493417  783  717  716.857911658  19.5864777023  0.0156494638001
-1.66860493417  783  740  740.491314405  18.5610746899  0.0196671598482
-1.66860493417  782  764  764.205180536  16.4280701304  0.0177169756491
-1.66860493417  782  788  788.16283386  15.2735198635  0.0098516521912
-1.66860493417  781  812  812.646737433  13.9879787151  0.0228225679696
-1.66860493417  780  837  837.302846155  13.1082926757  0.0122623358922
-1.66860493417  780  862  862.18421529  12.8948543784  0.0171209745082
-1.66860493417  779  887  887.359705563  12.5188150298  0.0327334325961
-1.66860493417  778  913  913.220410066  12.4325484262  0.0165950003483
-1.66860493417  777  939  939.335399998  12.7456543877  0.0284299688388
-1.66860493417  776  966  965.76601565  12.9402614086  0.0215846108902
-1.66860493417  775  993  992.605097736  13.0273503809  0.0208946867993
-1.49073493417  770  9  9.16375616676  5.82199519242  0.00101321972848
-1.49073493417  771  25  25.2169373981  6.11648940992  -0.00127218162304
-1.49073493417  772  41  41.3896376372  6.43254413866  -0.00117346876683
-1.49073493417  772  58  57.6290116915  6.6587896476  -0.0297860181423
-1.49073493417  773  74  74.1055464911  6.84335284236  -0.0158094864873
-1.49073493417  774  91  90.6496447791  7.12147416005  -0.0254506719334
-1.49073493417  775  107  107.400835626  7.47900813188  0.00862130672655
-1.49073493417  775  124  124.198762189  7.79296271943  0.00775524596856
-1.49073493417  776  141  141.168631719  8.28809768805  0.0139199368109
-1.49073493417  777  158  158.223458617  9.17052052729  0.0210772070151
-1.49073493417  777  175  175.488655236  10.3340873574  0.0340066481538
-1.49073493417  778  193  192.866346428  11.5909773298  0.0127310357923
-1.49073493417  778  211  210.316384154  12.6444613746  -0.00944475204585
-1.49073493417  779  228  228.169439152  15.7065403268  0.0244705813894
-1.49073493417  779  247  246.019125448  18.9500682097  -0.0274539402022
-1.49073493417  780  265  264.456222321  21.2348011662  -0.0110971803066
-1.49073493417  780  283  283.1329374  24.6602322534  0.0205561968087
-1.49073493417  781  302  302.409579675  27.2886182285  0.0308218535363
-1.49073493417  781  321  321.34991285  26.0875248497  0.0241143486647
-1.49073493417  782  340  340.70736978  24.6358391075  0.0343394722721
-1.49073493417  782  359  359.729391212  25.1633929636  0.047862129877
-1.49073493417  782  379  378.457823915  20.7333647112  0.00153455429924
-1.49073493417  783  397  397.672997776  21.4043047199  0.0486119896702
-1.49073493417  783  417  416.911440759  18.9735925043  0.0254500466921
