# Band 4A   Etalon 2B   Slice 2
# Distortion map version 06.04.00 - date 2018-10-11
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness
0.0  377  43  43.3203945673  3.51852368218  0.002988070145
0.0  377  85  85.1960263213  3.52877087962  -0.0148275595593
0.0  378  126  126.174049814  3.57177530971  -0.0279960035631
0.0  378  166  166.360128257  3.45945264717  -0.0256786376926
0.0  378  206  205.702169148  3.4310875634  -0.0290073725707
0.0  379  244  244.2472214  3.49005658521  -0.0176556469298
0.0  379  282  282.002514308  3.55084380405  -0.0184663159762
0.0  379  319  319.11809012  3.3854654089  0.000220308858798
0.0  379  355  355.415783418  3.34617688795  0.0108966320951
0.0  380  391  390.89225175  3.36835672816  0.00554171411739
0.0  380  426  425.730490505  3.27430682647  0.000750547568272
0.0  380  460  460.011840361  3.22163957533  0.00169755395765
0.0  380  494  493.537970378  3.24034441002  -0.0159097997881
0.0  380  526  526.47747586  3.14081857063  -0.0228593591701
0.0  380  559  558.800767989  3.26592915004  -0.0169829888246
0.0  380  591  590.541673245  3.1857006932  -0.0237683091813
0.0  380  622  621.712174903  3.1619787383  -0.00216137203238
0.0  379  652  652.394230322  3.19954813225  -0.0195178566445
0.0  379  682  682.436122419  3.24001364892  -0.0330269154449
0.0  379  712  712.020089362  3.21395208603  -0.0268131869015
0.0  379  741  741.074945803  3.3371188816  -0.0125511467861
0.0  379  770  769.5686266  3.27318241897  -0.0101680799804
0.0  379  798  797.62792752  3.24871885287  0.00346457540513
0.0  378  825  825.292746836  3.21737752699  0.00791091384933
0.0  378  852  852.359174896  3.25864766008  0.000364054709244
0.0  378  879  878.989028521  3.23624665642  -0.00848198585253
0.0  378  905  905.256930045  3.4244804555  0.00703238913638
0.0  377  931  931.054956357  3.27592731339  0.00790839306771
0.0  377  956  956.339576594  3.26946289205  0.000568254800395
0.0  377  981  981.215210829  3.40656702521  -0.00580465290594
0.0  376  1006  1005.86262875  3.31415824941  -0.00381540642878
-2.60205895318  367  44  43.8191651711  3.67595245025  -0.0177649879566
-2.60205895318  368  86  85.8549501962  3.59076369661  0.000878947181293
-2.60205895318  368  127  126.879263269  3.58168349851  -0.00910839216322
-2.60205895318  369  167  167.011228942  3.46597554462  -0.0140597927223
-2.60205895318  369  206  206.38685388  3.43257336654  -0.0126978679873
-2.60205895318  369  245  244.935680254  3.38518801326  -0.00681767419416
-2.60205895318  370  283  282.691473845  3.45085441521  -0.0310934579352
-2.60205895318  370  320  319.794100139  3.3787642629  -0.0123151242719
-2.60205895318  370  356  356.042867911  3.48076583122  -0.0185286326565
-2.60205895318  370  392  391.713503329  3.38681624546  0.0132599768506
-2.60205895318  370  427  426.637731972  3.30575478998  0.0073567859573
-2.60205895318  370  461  460.87932625  3.28432004385  0.00609481204214
-2.60205895318  370  494  494.403211597  3.1969524599  -0.0237969248766
-2.60205895318  370  527  527.403743184  3.2663028116  -0.0144987744282
-2.60205895318  370  560  559.778538002  3.12619139741  0.000862683415899
-2.60205895318  370  592  591.546372932  3.14877679923  0.00853510137274
-2.60205895318  370  623  622.752543084  3.12905588406  -0.00242579436127
-2.60205895318  370  653  653.370673594  3.12381768391  -0.00808182766114
-2.60205895318  370  683  683.455062846  3.19284119634  -0.00964139527696
-2.60205895318  370  713  713.01746511  3.23335266052  -0.0142688573693
-2.60205895318  370  742  742.008610429  3.10667885339  -0.0206953604352
-2.60205895318  369  771  770.658769469  3.21224547432  -0.0245093457641
-2.60205895318  369  799  798.699146716  3.22296317936  -0.00544452284202
-2.60205895318  369  826  826.239269759  3.19803545849  -0.0226078178122
-2.60205895318  369  853  853.42381167  3.29754229158  -0.00275044673588
-2.60205895318  368  880  880.135349783  3.18664989971  -0.021742252488
-2.60205895318  368  906  906.35993053  3.30427419573  -0.00827228218798
-2.60205895318  368  932  932.154721724  3.28904775402  0.00410717176454
-2.60205895318  368  958  957.479620272  3.37970277553  -0.00125558254188
-2.60205895318  367  982  982.49556762  3.35292020132  -0.00200917762146
-2.60205895318  367  1007  1006.96878796  3.41404898791  -0.019470496699
-2.33642995318  368  44  43.7935528257  3.6524632092  -0.0122243590629
-2.33642995318  369  86  85.8011458369  3.61425313108  0.00509564598772
-2.33642995318  369  127  126.847228497  3.56342888918  -0.0118627560366
-2.33642995318  370  167  166.92439967  3.43433916334  -0.0238940724632
-2.33642995318  370  206  206.309034353  3.43661992787  -0.019375862597
-2.33642995318  370  245  244.843884004  3.38966044255  -0.0227705296962
-2.33642995318  371  283  282.621412121  3.47021532618  -0.0368341488035
-2.33642995318  371  320  319.759973784  3.3813271915  -0.00584709308478
-2.33642995318  371  356  356.040191896  3.42037983534  -0.00679847032865
-2.33642995318  371  392  391.613380553  3.38860354468  -0.00127002587729
-2.33642995318  371  426  426.51528162  3.29311602397  -0.008738906068
-2.33642995318  371  461  460.786502621  3.30106631374  -0.000592581202875
-2.33642995318  371  494  494.360147118  3.19802170262  -0.0112697088511
-2.33642995318  371  527  527.282879108  3.2701167695  -0.0305571084239
-2.33642995318  371  560  559.694727422  3.20468718545  0.00110407647824
-2.33642995318  371  591  591.452601459  3.14328176719  0.00481308896146
-2.33642995318  371  623  622.662067951  3.1637124904  -0.000868477006013
-2.33642995318  371  653  653.268125774  3.20745032612  -0.00967470059454
