# Band 4B   Etalon 2B   Slice 5
# Distortion map version 06.04.00 - date 2018-10-11
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness        wavelength
0.0  151  10  10.3806646385  4.38133310289  0.0290940798775  24.3841202962
0.0  152  61  60.8775645381  3.8687061468  -0.00619332154185  24.2066353213
0.0  152  110  109.975187897  3.90241286943  -0.0315368885092  24.0363133941
0.0  153  158  158.059839468  3.93968477628  -0.0328122984753  23.8663590404
0.0  153  205  204.998561132  3.8887838501  -0.0248776012414  23.6965685212
0.0  153  251  250.974690211  3.62446779755  0.00110949132375  23.5346927171
0.0  154  296  295.678753188  3.51651948457  0.0109749936523  23.3691593997
0.0  154  339  339.200400884  3.65022926828  -0.040971655891  23.2091368915
0.0  154  382  381.933382195  3.59410410531  -0.0412615229172  23.0516825918
0.0  154  424  423.854681226  3.6868239834  -0.0091999676337  22.8933509161
0.0  154  465  464.65532778  3.63287443151  0.0120948279735  22.7420223841
0.0  154  505  504.653606207  3.33862529602  -0.0102131828324  22.5872985143
0.0  154  544  543.646415692  3.27738314339  -0.0212166176146  22.4392465445
0.0  154  582  581.937925597  3.29582613431  -0.0190422574352  22.2897333161
0.0  154  619  619.360504331  3.37025333532  -0.0327744945691  22.1438309074
0.0  154  656  656.154356069  3.29637078805  -0.0115504869526  22.0000765453
0.0  154  692  692.06872088  3.1591479511  -0.0106747409128  21.8566462695
0.0  154  727  727.284753382  3.12088196682  0.00479667367451  21.7167951858
0.0  154  762  761.705463439  3.06468085548  -0.00192957907737  21.5774828245
0.0  153  795  795.461287906  3.03162188839  -0.0152065164372  21.4422534742
0.0  153  829  828.545312592  3.06302958199  -0.0218187885659  21.3050614441
0.0  153  861  861.046985998  3.03513629442  -0.0104238949038  21.1726558299
0.0  153  893  892.898650943  3.04292254156  -0.00120564312205  21.0395169681
0.0  152  924  924.114886044  2.96967652066  -0.00316737761552  20.9105922238
0.0  152  955  954.807725399  3.0034790877  0.0151544202566  20.7812160306
0.0  152  985  984.809371864  2.90056632101  -0.0190739342835  20.6548136817
0.0  151  1014  1014.29470827  2.83195751911  -0.0298748539343  20.5287322598
-2.69054909549  141  9  9.08000111921  4.44941854792  -0.0277275580921  24.3841202962
-2.69054909549  142  60  59.8941423123  4.06188287753  -0.0153539679973  24.2066353213
-2.69054909549  142  109  109.235748628  3.86765542799  -0.00767372454931  24.0363133941
-2.69054909549  143  157  157.158200155  3.8006102122  -0.082138517075  23.8663590404
-2.69054909549  143  204  204.191617201  3.88695149891  -0.0204107221281  23.6965685212
-2.69054909549  143  250  250.081561025  3.90991759602  -0.00917469222581  23.5346927171
-2.69054909549  143  295  294.909450554  3.6499643554  0.0013829495616  23.3691593997
-2.69054909549  144  339  338.617257789  3.43101132451  -0.0382339704475  23.2091368915
-2.69054909549  144  381  381.316725914  3.48467176894  -0.035589499456  23.0516825918
-2.69054909549  144  423  423.103780951  3.64292035246  -0.0513989578898  22.8933509161
-2.69054909549  144  464  464.057372268  3.56733409921  -0.00452914477021  22.7420223841
-2.69054909549  144  504  504.163131379  3.4588031403  0.0132587275465  22.5872985143
-2.69054909549  144  543  543.237539335  3.32848181322  0.00308134658148  22.4392465445
-2.69054909549  144  582  581.466719659  3.26788738717  -0.0247899640156  22.2897333161
-2.69054909549  144  619  618.91618753  3.31818313852  -0.038555574744  22.1438309074
-2.69054909549  144  656  655.726686722  3.25354664177  -0.0205663189883  22.0000765453
-2.69054909549  144  692  691.719990242  3.23312154121  0.0117179339501  21.8566462695
-2.69054909549  144  727  726.909564579  3.18871265406  0.00078781738205  21.7167951858
-2.69054909549  143  761  761.460188929  3.11904051267  0.0249869343014  21.5774828245
-2.69054909549  143  795  795.227358126  3.10615628472  -0.0041866720425  21.4422534742
-2.69054909549  143  828  828.333612823  3.0204278352  -0.00529915107186  21.3050614441
-2.69054909549  143  861  860.830612306  3.02623612567  -0.013492300907  21.1726558299
-2.69054909549  142  893  892.643562946  2.96466568649  -0.00242556149853  21.0395169681
-2.69054909549  142  924  923.964728873  2.94253974785  -0.00665580795955  20.9105922238
-2.69054909549  142  955  954.670464458  2.95214157482  -0.00479270921955  20.7812160306
-2.69054909549  142  985  984.743091896  3.02917531671  -0.00911549408742  20.6548136817
-2.69054909549  141  1014  1014.28312531  2.96689579965  0.000220197877813  20.5287322598
-2.46286709549  142  9  9.22250712099  4.33561385154  -0.0222486389166  24.3841202962
-2.46286709549  143  60  60.0370279677  4.08759556192  0.0116450685318  24.2066353213
-2.46286709549  143  109  109.305874003  3.84449564586  -0.0595475138459  24.0363133941
-2.46286709549  143  157  157.193751359  3.86268913056  -0.0469839377862  23.8663590404
-2.46286709549  144  204  204.230283705  3.82845492729  -0.032024260638  23.6965685212
-2.46286709549  144  250  250.133737785  3.9163324616  -0.0197788652278  23.5346927171
-2.46286709549  144  295  295.047579783  3.57228352585  0.0268095527276  23.3691593997
-2.46286709549  145  339  338.716168103  3.42401808553  -0.0260710808557  23.2091368915
-2.46286709549  145  381  381.401504846  3.48161214963  -0.029534691612  23.0516825918
-2.46286709549  145  423  423.173641556  3.61614404996  -0.0498791140767  22.8933509161
-2.46286709549  145  464  464.081829427  3.56848184518  -0.0171417077701  22.7420223841
-2.46286709549  145  504  504.223886396  3.43866025525  0.0185993912821  22.5872985143
-2.46286709549  145  543  543.285458368  3.32185499187  0.00725985325245  22.4392465445
-2.46286709549  145  582  581.525616557  3.23648590304  -0.0270662577802  22.2897333161
-2.46286709549  145  619  618.946169944  3.34658157436  -0.0406367615734  22.1438309074
-2.46286709549  145  656  655.7386236  3.31619308555  -0.0204089020185  22.0000765453
-2.46286709549  145  692  691.808672368  3.25244610736  0.0207606805122  21.8566462695
-2.46286709549  144  727  726.896368633  3.18712345818  -0.000789715617456  21.7167951858
-2.46286709549  144  761  761.460263198  3.10122087899  0.0125572272469  21.5774828245
-2.46286709549  144  795  795.239324752  3.10012983165  -0.00990108448223  21.4422534742
-2.46286709549  144  828  828.360651794  2.97894410683  -0.0113358757445  21.3050614441
-2.46286709549  144  861  860.854992964  3.07706028849  -0.0172623281179  21.1726558299
-2.46286709549  143  893  892.659008163  2.95384317606  -0.00992501475472  21.0395169681
-2.46286709549  143  924  923.9688898  2.95242408568  -0.00852432039989  20.9105922238
-2.46286709549  143  955  954.672394379  2.91726324022  -0.0147182098059  20.7812160306
-2.46286709549  142  985  984.741615345  3.0270739585  -0.0178823300493  20.6548136817
-2.46286709549  142  1014  1014.26446414  2.93937276766  0.0104351820565  20.5287322598
-2.23518509549  143  9  9.33863261274  4.37950766445  -0.0118148791383  24.3841202962
