# Band 4C   Etalon 2B   Slice 12
# Distortion map version 06.04.00 - date 2018-10-11
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness
0.0  39  82  81.6302508741  3.31092028095  -0.0287443489482
0.0  40  140  139.355019375  2.42106569812  0.0820250253229
0.0  40  195  194.911616935  0.0571894080887  -0.179843388394
0.0  40  250  249.58209199  5.00929785002  -0.0544315886015
0.0  41  302  302.535415799  5.38899482258  -0.0438393114485
0.0  41  354  354.157599435  4.55591963372  -0.0219038478756
0.0  41  404  403.759936359  4.37604774374  -0.0830487845404
0.0  41  453  452.862420999  4.44574195486  0.0167508260723
0.0  41  500  500.437893288  4.17593295238  -0.0300601502823
0.0  41  547  546.634310945  4.36321050069  -0.0427566068543
0.0  41  592  592.080808506  4.16917687795  -0.0314144886287
0.0  41  636  636.205718972  3.53572069689  0.180320918892
0.0  41  679  679.005914939  3.90253096757  -0.0201190153562
0.0  41  721  721.15277002  3.76099645796  0.0203889937438
0.0  40  762  762.02837859  3.66145111766  -0.0456433218733
0.0  40  802  801.994514766  3.64994149482  -0.0352707113902
0.0  40  841  841.288916768  3.49656299487  -0.0151810854162
0.0  40  879  879.438619279  3.42357793978  0.0145150989655
0.0  39  917  916.749562446  3.43255160655  -0.0113178100858
0.0  39  953  953.350097048  3.32911879052  -0.0039813345765
0.0  39  989  989.058264444  3.26185354835  -0.0109816476149
-2.69916299407  29  22  19.5618633034  0.111734830715  0.0
-2.69916299407  29  80  80.2807803431  3.05907232242  -0.0733939732587
-2.69916299407  30  138  136.77696845  0.624769243788  -0.112494231553
-2.69916299407  30  193  194.158920375  19.7017052367  0.0262100826797
-2.69916299407  30  249  248.901123214  6.01247552891  0.0147777192613
-2.69916299407  31  302  301.403510535  4.77000836872  -0.0752439626094
-2.69916299407  31  354  353.39820692  4.57933136589  0.0642102467251
-2.69916299407  31  403  403.130642373  4.19008100391  -0.0369450874747
-2.69916299407  31  452  451.906225563  4.62387089514  -0.0453094825918
-2.69916299407  31  500  499.821802287  4.21728787378  0.003647928267
-2.69916299407  31  546  545.895687412  3.93739407375  -0.0289647338088
-2.69916299407  31  591  591.405036136  4.23131249384  -0.0206014851746
-2.69916299407  31  636  635.534032257  3.78711858492  0.0361262137871
-2.69916299407  31  678  678.358418865  3.83200684264  -0.0280204329264
