# Band 1B   Etalon 1B   Slice 15
# Distortion map version 06.04.00 - date 2018-10-16
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness
0.0  329  12  11.9844291378  7.71881625826  0.0849159818229
0.0  329  20  19.6376654644  7.17519028403  0.0249312210789
0.0  329  27  27.8040479868  0.268843213426  0.281097841528
0.0  329  35  35.6852842821  0.312258586209  0.262218695179
0.0  329  43  43.4938866501  10.7892685984  0.180870508062
0.0  329  51  51.4806244477  12.5001386629  0.209677619256
0.0  329  59  59.5347218843  14.2629385912  0.183519012148
0.0  330  67  67.4554992539  16.1146214911  0.154472676069
0.0  330  75  75.2780753586  0.393291608959  0.140107894898
0.0  330  83  83.3763283097  19.2362219275  0.117678408724
0.0  330  91  91.0837803021  0.440607594517  0.123383997892
0.0  330  99  99.0073484373  0.436956684281  0.124325056608
0.0  330  107  106.970256879  0.411631063226  0.132374559446
0.0  330  115  115.485038951  17.1364571223  0.132127249986
0.0  330  124  123.549420656  14.0264991351  0.0470985698938
0.0  330  132  132.092855065  14.2841334696  0.184442047596
0.0  331  141  140.491473325  12.1224517145  0.040086528783
0.0  331  149  149.234527559  12.1853786068  0.213755215967
0.0  331  158  157.686036321  10.4864335459  0.0588853732646
0.0  331  166  166.453229222  0.37131901514  0.231708161289
0.0  331  175  174.985927676  10.5466327493  0.0923093512949
0.0  331  183  183.757079743  11.5733898244  0.225681502617
0.0  331  192  192.312623574  0.159750404627  0.16039451124
0.0  331  201  200.778551658  11.4369870019  0.0250147038623
0.0  331  209  209.633363066  0.292781831932  0.197184756069
0.0  331  218  218.203625664  13.5359874812  0.194835746613
0.0  331  227  226.649705704  0.159560155847  0.0735170718268
0.0  331  235  235.355777841  13.8720396126  0.18571229784
0.0  332  244  244.151191266  0.208653392624  0.169075428468
0.0  332  253  252.692054053  10.9706179633  0.0796083785912
0.0  332  262  261.584903861  0.120753036921  0.053663574629
0.0  332  271  270.606766302  9.08394081784  0.063914284829
0.0  332  280  279.740179079  8.719367645  0.0741436932158
0.0  332  289  288.906233582  8.20024986915  0.0886356307963
0.0  332  298  298.125667826  8.08528054721  0.116741346815
0.0  332  307  307.443966291  8.22437798695  0.16797445603
0.0  332  316  316.845100953  9.82016167785  0.259654243442
0.0  332  326  325.866178557  8.77065287566  0.0350190067505
0.0  332  335  335.243194012  9.09937271935  0.117554357257
0.0  332  344  344.773085918  12.3216056978  0.214078913868
0.0  332  354  353.844277575  0.123513088598  0.0550083325621
0.0  332  363  363.411503652  13.6513941588  0.191189788702
0.0  332  373  372.521211293  0.134252321665  0.0483076628868
0.0  332  382  382.053153316  0.149775131472  0.144942646681
0.0  332  391  391.60994603  0.336158004046  0.208552112603
0.0  333  401  401.206956278  11.0532586244  0.135083468857
0.0  333  411  410.909537248  10.0614351784  0.0781890124357
0.0  333  421  420.686645254  9.60405226541  0.0427390796823
0.0  333  431  430.595331929  9.33100584794  0.0298760886701
0.0  333  441  440.564862688  9.3970010766  0.0194559480022
0.0  333  451  450.709948272  9.48045189005  0.0327930175518
0.0  333  461  460.877814875  9.79808963755  0.0475481453136
0.0  333  471  471.027612897  10.1648752607  0.0621505748943
0.0  333  481  481.345305654  10.7952751431  0.0920014047932
0.0  333  491  491.794420107  0.179355919105  0.161033480539
0.0  333  502  501.81988429  12.9972595519  0.00567268587834
