# Band 1B   Etalon 1B   Slice 20
# Distortion map version 06.04.00 - date 2018-10-16
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness        wavelength
0.0  97  5  5.03589413868  8.54680544895  0.181485864695  5.64224429058
0.0  97  13  12.9031505956  7.84239165577  0.0739162894534  5.65107091444
0.0  97  21  20.9239910343  8.1942308645  0.0748505028508  5.65992358461
0.0  98  29  29.0310395643  8.81911600376  0.0754806600518  5.66870398567
0.0  98  37  37.1669815686  9.87725177832  0.10738086104  5.67764286157
0.0  98  45  45.3930218343  10.8546313537  0.151856052779  5.68658310186
0.0  98  53  53.701618489  13.2586022283  0.195692889046  5.69557057332
0.0  98  62  61.6741854459  13.3419438365  -0.00207504115743  5.7047212932
0.0  98  70  69.9859662731  15.2967005155  0.0629217149001  5.71367297138
0.0  98  78  78.0289327691  0.427311499004  0.128630296009  5.72269465075
0.0  98  86  85.9350258115  0.473860649133  0.114534853117  5.7319194112
0.0  98  94  93.922269799  0.540036141944  0.0996923990298  5.74116177365
0.0  98  102  102.178539594  0.474981709512  0.108837273455  5.75025048468
0.0  99  110  110.376857144  0.422436898762  0.123110188949  5.75940973524
0.0  99  119  119.066460864  0.330858742726  0.174229931841  5.76886544792
0.0  99  127  127.741532218  0.333871444881  0.161993342681  5.77804751276
0.0  99  136  136.352316938  12.6081162638  0.205393520177  5.7872140016
0.0  99  145  145.087694057  11.1888210877  0.15461682832  5.79657449711
0.0  99  154  153.763016  10.493093004  0.0745673594502  5.80596032159
0.0  99  162  162.744605706  0.265959512448  0.241955253099  5.81533347882
0.0  99  171  171.562226455  10.6669825271  0.19693243441  5.82475181365
0.0  99  180  180.402544387  10.4578604316  0.162809363531  5.834003909
0.0  99  189  189.143850893  10.6011460851  0.114138129843  5.84334137798
0.0  99  198  197.902661903  11.2545385143  0.0450794169221  5.85280891825
0.0  99  207  206.744938909  11.9870208458  0.0252679398393  5.86230272311
0.0  99  215  215.837413512  0.33080540153  0.166413728666  5.87178929327
0.0  100  224  224.295331362  14.5839368936  0.176677403338  5.88131747247
0.0  100  233  233.129137106  0.336590188923  0.174054302301  5.89082531409
0.0  100  242  241.839496859  12.7699002143  0.12870988197  5.90031778026
0.0  100  251  250.725252266  11.4134372178  0.0999685283878  5.90987248275
0.0  100  260  259.935002324  10.0856459683  0.135467099736  5.91952049921
0.0  100  269  269.189480723  8.7658278541  0.165771632211  5.92912016216
