# Band 1C   Etalon 1B   Slice 16
# Distortion map version 06.04.00 - date 2018-10-15
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness        wavelength
0.0  285  8  8.13344872581  4.48324982114  0.151593602158  6.39940732844
0.0  285  17  17.0119878646  4.2441516685  0.119804786025  6.41070390995
0.0  285  26  25.965716978  4.01755328765  0.103101270164  6.42213120445
0.0  285  35  34.9493683558  3.76063156881  0.0759745495701  6.43343624674
0.0  286  44  43.9944731889  3.67226137159  0.0522642554361  6.44484360906
0.0  286  53  53.1436359349  3.58129955555  0.0756775044582  6.45629825764
0.0  286  62  62.2486564322  3.44592009189  0.0858440090395  6.46772568942
0.0  286  71  71.4523088159  3.62813741737  0.126178388211  6.47923829329
0.0  286  81  80.6079207701  3.24537631242  0.0225016909361  6.49077365366
0.0  286  90  89.8844559895  3.11232927771  0.0810658843128  6.50235938852
0.0  286  99  99.2232110888  3.16314265855  0.125883654042  6.51394967732
0.0  286  109  108.573271973  2.85251452036  0.0691415825282  6.525595585
0.0  286  118  118.009577769  2.8540685193  0.1161521498  6.53728663009
0.0  287  128  127.558697938  2.54178361702  0.0869732523359  6.54901867693
0.0  287  137  137.144838459  2.55502976581  0.132499488047  6.56079927167
0.0  287  147  146.7503959  2.38034397274  0.0827108044613  6.57259599371
0.0  287  156  156.442740806  2.3002761435  0.122784391702  6.58443973288
0.0  287  166  166.193117117  2.32647226226  0.0924381611761  6.59632884192
0.0  287  176  175.951415413  2.33356692814  0.0334863963939  6.60826155392
0.0  287  186  185.774126158  2.25023716891  -0.0122896295371  6.62023114043
0.0  287  196  195.68089107  2.15288946204  -0.027466606595  6.63225295602
0.0  287  206  205.659777096  2.09317520197  -0.0215757096207  6.64431300542
0.0  287  216  215.681450831  2.07526319868  -0.017767075557  6.65641875256
0.0  288  226  225.834695903  2.11861110537  0.0221936864399  6.66857164643
0.0  288  236  236.020973831  2.11464420093  0.0658171816896  6.68077171257
0.0  288  246  246.268033744  2.00140652866  0.128552734773  6.69302556951
0.0  288  256  256.501062684  1.83076356042  0.122804732947  6.70531567213
0.0  288  267  266.814349489  1.99300605672  0.0387347828879  6.71765784374
0.0  288  277  277.287804608  1.9546019384  0.117198470909  6.73002312738
0.0  288  288  287.707017667  1.9065569729  0.032672923806  6.7424383518
0.0  288  298  298.304473793  1.91045616275  0.0906228830132  6.7549090228
0.0  288  309  308.87983777  2.01526122299  0.0146229416258  6.76742602929
0.0  288  320  319.553337216  1.8208221112  -0.00447723995088  6.77999446375
