# Band 2A   Etalon 1A   Slice 17
# Distortion map version 06.04.00 - date 2018-10-16
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness        wavelength
0.0  951  11  11.4917459171  1.6035886572  0.113903223152  7.4277404601
0.0  952  23  23.2461090306  1.66057113068  0.0898989067337  7.44523069133
0.0  952  35  34.8511614465  1.67172433947  0.0435164943186  7.46281116155
0.0  953  47  46.7621731054  1.64341078304  0.0244520901176  7.48046540087
0.0  954  59  58.7775319124  1.8182952519  0.146432534773  7.49820975433
0.0  954  71  70.6891805959  1.54697076725  0.0364631089238  7.51603192907
0.0  955  83  82.8901442612  1.59693475182  0.0618114098638  7.53394238624
0.0  955  95  95.0030528011  1.58770323941  0.0964080317715  7.55193643168
0.0  956  107  107.418393227  1.43394413875  0.142820056827  7.5700217338
0.0  956  120  119.635648143  1.42862390445  0.0424481558925  7.58818685258
0.0  957  132  132.277743913  1.52526214845  0.113328017815  7.60644596181
0.0  957  145  144.699207402  1.503007309  0.0230170144089  7.62478801897
0.0  958  158  157.513874184  1.50462033372  0.0565478501065  7.6432169222
0.0  958  170  170.220953674  1.59180632378  0.0933006513456  7.66173844531
0.0  959  183  183.185583487  1.59512956796  0.0620359076512  7.6803446471
0.0  959  196  196.088913591  1.62160382575  0.0838995031387  7.69904812526
0.0  960  209  209.278311376  1.54819829101  0.0914054549482  7.71784197575
0.0  960  222  222.391367983  1.45773239369  0.134325656711  7.73672166641
0.0  961  236  235.713531029  1.54524529199  0.0334803787367  7.7556949654
0.0  961  249  249.071570448  1.57621343249  0.0892555162563  7.77476341225
0.0  961  262  262.494901417  1.26157528251  0.10966846367  7.79392293448
0.0  962  276  276.242253861  1.53183648987  0.0999977780604  7.81317756701
0.0  962  290  289.822755904  1.59363026503  0.0122962641484  7.8325368347
0.0  963  304  303.672077227  1.66158627473  0.0025054886806  7.85198214587
0.0  963  318  317.649473709  1.55055326856  0.0156358203545  7.87152163284
0.0  963  332  331.64306856  1.59564126678  0.0347595208385  7.89115894558
0.0  963  346  345.746379871  1.62087337085  0.0334825672848  7.91089855049
0.0  964  360  360.212366676  1.60334867803  0.110311508703  7.93073880869
0.0  964  375  374.518410615  1.51146845162  0.0721273346067  7.95067775934
0.0  964  389  389.007875478  1.65881297264  0.089576522336  7.97071507989
0.0  964  404  403.580826504  1.46619970986  0.0598227396462  7.9908458955
0.0  965  418  418.496087061  1.34969615701  0.0806758454589  8.01108787094
0.0  965  433  433.383051228  1.49169842791  0.0960284426291  8.03142653766
0.0  965  448  448.354020638  1.56784318257  0.0755500986646  8.05186706985
0.0  965  463  463.450641145  1.51979602312  0.054493910682  8.07241887251
0.0  965  479  478.642393384  1.60910400648  -0.0042969046392  8.09306889892
0.0  965  494  494.049035674  1.69739441921  0.040772482958  8.11382299322
0.0  965  510  509.545060534  1.66815889467  0.0452692920372  8.13469133344
0.0  965  525  525.210609248  1.71577765922  0.0709385662818  8.15566417576
0.0  965  541  540.960902883  1.75471293578  0.0562693044424  8.17673984077
0.0  965  557  556.871947452  1.75377441211  0.0547599726448  8.19792487393
0.0  965  573  572.964697137  1.76922938669  0.0719989277219  8.21921825305
0.0  965  589  589.193576759  1.72528904507  0.0783850293542  8.24062531645
0.0  965  606  605.543982794  1.6223442275  0.0528289246543  8.26215256974
0.0  965  622  622.061277672  1.7917887718  0.0314588792411  8.28378288708
0.0  965  639  638.675606227  1.72390468334  -0.024538721636  8.30551487753
