# Band 2A   Etalon 1A   Slice 9
# Distortion map version 06.04.00 - date 2018-10-16
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness
0.0  977  8  8.34605783242  1.88495625085  -0.00543866549819
0.0  978  20  20.02293714  1.82167344476  -0.0164344296918
0.0  979  32  31.8572639763  1.80337641027  -0.0296183833883
0.0  979  44  43.618285783  1.76049200855  -0.0467310852664
0.0  980  56  55.6354057012  1.77105026152  -0.0396278367057
0.0  981  68  67.7823345388  1.80807248464  0.103205916667
0.0  981  80  79.7737596032  1.75641541067  0.0130201166297
0.0  982  92  92.0882487921  1.74209022556  0.0692245156743
0.0  982  104  104.294053875  1.68706778533  0.0628329341556
0.0  983  117  116.718786898  1.67775033818  0.0130830462628
0.0  983  129  129.146481691  1.7536268549  0.0188098700691
0.0  984  142  141.816918614  1.72533949542  0.00579724299923
0.0  984  154  154.455906018  1.66855511344  0.00364766419203
0.0  985  167  167.326200538  1.71043233422  -0.0136823607765
0.0  985  180  180.187330853  1.70740384985  0.00877685761149
0.0  986  193  193.262831603  1.676694188  0.0052137409105
0.0  986  206  206.320387616  1.62417319455  0.044877244454
0.0  987  220  219.561665096  1.61375185779  0.00704412418213
0.0  987  233  232.792222782  1.66517682898  0.0137447000568
0.0  988  246  246.316514377  1.59498499513  0.0822187628117
0.0  988  260  259.72007826  1.65361866209  0.0275850228951
0.0  988  273  273.298336945  1.71149334127  -0.00927467087278
0.0  989  287  287.10445589  1.71912731354  0.020958640768
0.0  989  301  300.887530458  1.73138559518  0.00391958157367
0.0  990  315  314.864672971  1.83054340779  -0.00559746587311
0.0  990  329  328.979070849  1.72871349714  0.00379395873485
0.0  990  343  343.139440827  1.71417569346  0.0213435210869
0.0  990  357  357.425680226  1.65269323423  0.0290906014495
0.0  991  372  371.927128937  1.7061568238  0.0283087277653
0.0  991  386  386.453931077  1.5827400096  0.0514805121714
0.0  991  401  401.065355454  1.69434463787  0.0220938019063
0.0  991  416  415.783403235  1.65433984177  -0.0152113673838
0.0  992  431  430.773652643  1.67922954096  -0.0127855480233
0.0  992  446  445.786190392  1.69982003685  -0.00682572283377
0.0  992  461  460.924953705  1.77689820216  -0.0108625350775
0.0  992  476  476.220736606  1.78179892044  0.0234997835694
0.0  992  492  491.615014679  1.7847296078  0.0157433520692
0.0  992  507  507.157710601  1.83484297905  0.0149640983531
0.0  992  523  522.832360839  1.79529896481  0.0247015093546
0.0  992  539  538.637691645  1.749208415  0.0116644303784
0.0  992  555  554.590118637  1.74185706013  0.0155021432656
0.0  992  571  570.672506213  1.74883955134  0.00529065760729
0.0  992  587  586.900441077  1.83156189634  -0.0063867573456
0.0  992  603  603.314812741  1.83251843023  0.0309214892795
0.0  992  620  619.782387826  1.85026941178  -0.0352532428573
0.0  992  636  636.469857451  1.85259340036  -0.0105466390305
0.0  992  653  653.30877336  1.95902280657  -0.00662177825602
0.0  991  670  670.180638426  1.98828577192  -0.00244983365525
0.0  991  687  687.331770344  2.01804708147  0.0154208291466
0.0  991  705  704.610939023  1.98487289936  0.00449054232521
0.0  991  722  722.089756903  2.03057200507  0.0338598940545
0.0  990  740  739.587291202  2.03546122607  0.0256525958216
0.0  990  757  757.413976345  1.99797926456  0.0709849767389
0.0  990  775  775.387715675  1.9697303945  0.123863220788
0.0  989  793  793.407040606  1.98295032484  0.0618203808159
0.0  989  812  811.672666276  2.02081096987  0.0103465617923
0.0  988  830  830.069894543  2.09003183443  0.0167440681259
0.0  988  849  848.662316514  1.9659284665  -0.0207494914398
0.0  987  867  867.464279817  2.07982543998  -0.0114468845693
0.0  986  886  886.395424837  2.16546282714  -0.0174402120832
0.0  986  906  905.568237649  2.2466986714  -0.0557483310732
0.0  985  925  924.882058283  2.34077477359  -0.0631709825029
0.0  984  944  944.386877228  2.34809595409  -0.0404072880513
0.0  983  964  964.111176688  2.41459787747  -0.0106982196722
0.0  982  984  983.973932375  2.47532053019  -0.0191577320613
0.0  981  1004  1004.12856175  2.44180606033  0.00652750309127
-1.45557454936  984  9  9.37652360512  1.77781534534  -0.0311616040769
-1.45557454936  985  21  21.1268227434  1.78162458353  -0.0426246135499
-1.45557454936  986  33  33.0116952236  1.77991784684  0.0455290084199
-1.45557454936  986  45  44.7372849267  1.74999247441  -0.0447857351706
-1.45557454936  987  57  56.7426281346  1.73209765964  -0.0199597881034
-1.45557454936  987  69  68.6771362052  1.71722216228  -0.0103434492783
-1.45557454936  988  81  80.8613185716  1.71507753325  0.016755285792
-1.45557454936  989  93  93.072650762  1.87858743421  0.0536876434409
-1.45557454936  989  105  105.348578355  1.65635954178  0.0436973124841
-1.45557454936  990  118  117.806138711  1.69577977326  0.038171934182
-1.45557454936  990  130  130.230701578  1.67154336981  0.0435719786127
-1.45557454936  991  143  142.870761228  1.68903221954  0.00279916831016
-1.45557454936  991  155  155.488372579  1.6811842134  -0.00283261656057
-1.45557454936  992  168  168.377842968  1.65214836211  -0.0141709726745
-1.45557454936  992  181  181.201589149  1.67974507195  -0.0066424624004
-1.45557454936  993  194  194.286439528  1.62569937383  0.00486741716547
-1.45557454936  993  207  207.303277202  1.6209239359  0.00317200889166
-1.45557454936  994  221  220.567188529  1.59036264271  0.017842662567
-1.45557454936  994  234  233.79539222  1.64892425207  0.0338543847835
-1.45557454936  994  247  247.229591901  1.7233459749  0.0773818579577
-1.45557454936  995  261  260.687736951  1.60646749848  0.0258004316591
-1.45557454936  995  274  274.283735898  1.62624154312  0.0579244197981
-1.45557454936  996  288  288.075387536  1.66525258051  0.02967182749
-1.45557454936  996  302  301.845117899  1.68989002088  0.0064105118054
-1.45557454936  996  316  315.753151504  1.70579728746  0.0122325111711
-1.45557454936  997  330  329.92160508  1.68828948607  0.0224256460814
-1.45557454936  997  344  344.070971142  1.66582541357  0.0272025054902
-1.45557454936  997  358  358.330877176  1.62183601727  0.0205353435026
-1.45557454936  998  373  372.752571732  1.75916299787  0.00548787573319
-1.45557454936  998  387  387.354817397  1.58790788431  0.053635507126
-1.45557454936  998  402  401.950293535  1.65404648156  0.0255326653903
-1.45557454936  998  417  416.675186354  1.62655070077  0.00765999019188
-1.45557454936  998  432  431.541948272  1.60442198474  0.0168058891995
-1.45557454936  999  447  446.645392671  1.65076465894  -0.00564539331226
-1.45557454936  999  462  461.780436134  1.69317766087  -0.0143706327126
-1.45557454936  999  477  477.046307  1.76642231229  -0.00101471025586
-1.45557454936  999  492  492.457232919  1.7400210977  0.0120832524814
-1.45557454936  999  508  507.986016826  1.80689224413  0.0231326812504
-1.45557454936  999  524  523.660587717  1.7656555164  0.032180831953
-1.45557454936  999  539  539.449335172  1.75673621209  0.0299994460396
-1.45557454936  999  555  555.414537279  1.71090105227  0.0576114471533
-1.45557454936  999  571  571.485832291  1.72064421044  0.0358297145507
-1.45557454936  999  588  587.675455058  1.74088171711  -0.0103195311842
-1.45557454936  999  604  604.070001731  1.81839363398  0.000911884246929
-1.45557454936  999  621  620.56185271  1.7614745703  -0.0228978021029
-1.45557454936  999  637  637.235609966  1.89685392964  -0.00568695045587
-1.45557454936  998  654  653.91708472  1.92554428545  -0.0319112892025
-1.45557454936  998  671  670.896914444  1.97168133352  -0.026610154559
-1.45557454936  998  688  688.040335969  1.98987715609  -0.00567527416718
-1.45557454936  998  705  705.348227938  2.00482010315  0.0162101651376
-1.45557454936  997  723  722.656179211  1.97621145265  0.00196153287848
-1.45557454936  997  740  740.310413915  1.99165254844  0.0590330142079
-1.45557454936  997  758  758.090937286  2.0177779387  0.0579017429451
-1.45557454936  996  776  775.934607503  2.02309850333  0.0555012658759
-1.45557454936  996  794  794.043139627  2.03565685066  0.0424469188074
