# Band 2A   Etalon 1B   Slice 4
# Distortion map version 06.04.00 - date 2018-10-16
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness
0.0  708  13  12.548840423  1.44986993707  0.0377235260231
0.0  708  23  23.1808646349  1.55162675647  0.093920249891
0.0  709  34  33.7993929729  1.53998297626  0.0326740744588
0.0  709  45  44.5447051284  1.26461613717  0.0550919702522
0.0  710  55  55.4222330637  1.33294399872  0.146611485204
0.0  710  66  66.2966682713  1.43811899882  0.14722182925
0.0  711  77  77.2368013251  1.48473370171  0.130575172534
0.0  711  88  88.2461971975  1.50347846633  0.120590308412
0.0  711  99  99.325644844  1.51129881696  0.104351841151
0.0  712  110  110.476245789  1.36118134251  0.0860928993859
0.0  712  122  121.656153938  1.58938491368  0.00168865206255
0.0  713  133  133.013186825  1.61506569232  0.0447700098766
0.0  713  144  144.428602568  1.4337096465  0.089512164391
0.0  714  156  155.869683598  1.60423681979  0.0196726812377
0.0  714  167  167.444634823  1.43491292937  0.0660015035963
0.0  715  179  179.070927807  1.60260727885  0.0467592321577
0.0  715  191  190.752674148  1.5312726749  0.00348250398521
0.0  715  203  202.552033933  1.38779096044  0.00771938462163
0.0  716  214  214.483075139  1.25547813648  0.104589016325
0.0  716  226  226.443983866  1.28654012801  0.117159768436
0.0  716  238  238.475121128  1.25862353466  0.109970439237
0.0  717  251  250.561789392  1.44455099395  0.0158116949224
0.0  717  263  262.745320171  1.58908297417  0.00259665392065
0.0  717  275  275.071407884  1.61911006262  0.0587398447115
0.0  718  287  287.451485629  1.53842749942  0.0419491178563
0.0  718  300  299.896560767  1.67262044262  0.0212495638534
0.0  718  312  312.471661994  1.53674743648  0.0468799657062
0.0  718  325  325.127423476  1.6684080956  0.0589170729845
0.0  719  338  337.822555799  1.65340422973  0.00952946147943
0.0  719  351  350.639411322  1.62216060425  -0.00888256479676
0.0  719  364  363.585111817  1.57881655961  0.000455892170327
0.0  719  377  376.580498753  1.5622872421  0.00174729802925
0.0  720  390  389.669868807  1.60180713241  -0.0362639687619
0.0  720  403  402.880843089  1.67161307891  -0.00437836237779
0.0  720  416  416.24270672  1.63439969941  0.0644410384916
0.0  720  430  429.594084765  1.56782890205  -0.0100302574528
0.0  720  443  443.124756549  1.66840176184  0.0479161929205
0.0  720  457  456.669021964  1.63577312252  -0.017704728269
0.0  720  470  470.42088602  1.56605216612  0.0702275612064
0.0  721  484  484.213899002  1.68548084572  0.0517815192753
0.0  721  498  498.112186441  1.70431084265  0.0703104811874
0.0  721  512  512.1092289  1.73983823435  0.0602659737828
0.0  721  526  526.226463758  1.71924998666  0.0690086185428
0.0  721  540  540.414780759  1.69445546428  0.0381671835967
0.0  721  555  554.699991451  1.74359421324  -0.0182226059949
0.0  721  569  569.178724908  1.78901739391  0.0455087179936
0.0  721  584  583.685594538  1.77349950122  -0.000143779377753
0.0  721  598  598.356881968  1.77532579515  0.0181401423934
0.0  721  613  613.129664444  1.82496118161  0.00681179311337
0.0  720  628  628.027463687  1.83703555877  0.0104448223685
0.0  720  643  643.018733142  1.84921151152  -0.00719240455426
0.0  720  658  658.137751139  1.81288567968  0.0273513736948
0.0  720  673  673.380239055  1.78186714619  0.0343473667247
0.0  720  689  688.678626215  1.77310800938  -0.00287225126686
0.0  720  704  704.192234316  1.82972080108  0.0529609218585
0.0  719  720  719.778112442  1.8403481584  -0.0161471474655
0.0  719  736  735.503986973  1.77915413815  0.0196963486215
0.0  719  751  751.378160242  1.80765970046  0.0611544926282
0.0  718  767  767.380437645  1.86446093456  0.0750533059701
0.0  718  783  783.452290331  1.85324703406  0.0331125732681
0.0  718  800  799.663352495  1.90694436234  0.014235853342
0.0  717  816  816.078078384  1.97263439791  0.0184789793591
0.0  717  833  832.547359814  1.93952591097  -0.0134302624882
0.0  717  849  849.229474945  2.06129861886  0.0135494854565
0.0  716  866  865.975596223  2.020761592  -0.0251721937341
0.0  716  883  882.903117956  2.09247502119  -0.011946746782
0.0  715  900  899.959254977  2.00699911705  -0.0189624527811
0.0  714  917  917.228028275  1.99455879964  0.0268326433093
0.0  714  935  934.522666683  1.93808902759  0.00718379561992
0.0  713  952  952.056313838  2.01536287546  0.027270400856
0.0  712  970  969.724003397  2.04308738188  0.0292684907893
0.0  712  987  987.4814033  1.9941410287  0.0289282880327
0.0  711  1005  1005.46895229  2.07366146126  0.0310476760265
-1.47258298212  715  13  12.7503387201  1.52960401644  0.0172551799885
-1.47258298212  716  23  23.4065035153  1.41071135349  0.107302368461
-1.47258298212  716  34  34.0498825144  1.57082526554  0.104514614395
-1.47258298212  717  45  44.7361569111  1.498728649  0.0257574091114
-1.47258298212  717  56  55.5331485121  1.2709225158  0.0261933016159
-1.47258298212  718  66  66.4651141384  1.21045263549  0.157058950935
-1.47258298212  718  77  77.3945437907  1.37724305804  0.132473778602
-1.47258298212  719  88  88.4115780529  1.36504335276  0.126325420793
-1.47258298212  719  99  99.457106651  1.37172636312  0.0790604904564
-1.47258298212  720  111  110.595389012  1.52231306412  0.0177537741766
-1.47258298212  720  122  121.821845612  1.61704197725  0.024548108653
-1.47258298212  721  133  133.164780328  1.62338999691  0.0664295913483
-1.47258298212  721  145  144.525613415  1.48541704046  0.0225844975837
-1.47258298212  721  156  155.991150538  1.61950595395  0.0395670830921
-1.47258298212  722  168  167.525101327  1.48797407481  0.0342412045758
-1.47258298212  722  179  179.197701767  1.54416829882  0.0756939697688
-1.47258298212  723  191  190.840636874  1.56287289391  0.00868066487462
-1.47258298212  723  203  202.627788147  1.44177573351  0.00190020059777
-1.47258298212  723  215  214.517172401  1.37482127264  0.0273515624213
-1.47258298212  724  226  226.485961987  1.22930441275  0.0867006499295
-1.47258298212  724  238  238.503740892  1.19687658638  0.0865832028372
-1.47258298212  724  251  250.596227911  1.47447501392  0.0083472418079
-1.47258298212  725  263  262.791614244  1.6062094453  0.0211316362483
-1.47258298212  725  275  275.099449459  1.63096196477  0.0648990407227
