# Band 2B   Etalon 1A   Slice 3
# Distortion map version 06.04.00 - date 2018-10-09
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness        wavelength
0.0  646  9  8.60716491971  1.66485589411  -0.0320207601482  8.5523944618
0.0  647  23  22.7530954268  1.7390213015  -0.0606980463884  8.57555356442
0.0  647  37  37.0651767356  1.89997425794  -0.0468680205709  8.59883809823
0.0  648  51  51.4879399682  1.84826279938  -0.0220154163901  8.6222489842
0.0  649  66  66.0260970319  1.92179966728  -0.0263836324938  8.64579769721
0.0  649  81  80.6693392112  1.87072444901  -0.0253836460477  8.66946798634
0.0  650  95  95.4959646062  1.92429321153  0.013806310952  8.69327018462
0.0  651  110  110.441022306  1.8943879472  0.0353364835036  8.71719447832
0.0  651  125  125.50282853  1.90459421102  0.0407666613736  8.74126102533
0.0  652  141  140.67420043  1.91254895174  0.00934760916951  8.76544965206
0.0  652  156  156.046428083  2.01480032486  0.0332230662478  8.78977506185
0.0  653  172  171.500256583  1.92677813846  0.0224338435411  8.81422961945
0.0  653  187  187.141157965  2.03121334801  0.0216389866947  8.83881966644
0.0  654  203  202.86233532  2.03190401949  -0.0224830507844  8.86354920752
0.0  654  219  218.773902133  2.02033606849  -0.0368600977398  8.88841719494
0.0  655  235  234.788502208  2.1018735596  -0.0631393650664  8.91341697961
0.0  655  251  251.004258707  2.17019107011  -0.0471632655657  8.93856505757
0.0  656  267  267.343353888  2.19258050654  -0.017670308389  8.96384090218
0.0  656  284  283.811857386  2.26217304599  -0.0302270443609  8.98926511398
0.0  656  300  300.488119612  2.23250266804  0.00630339654059  9.01482493681
0.0  657  317  317.252499468  2.35823563226  0.0255064145624  9.04054287768
0.0  657  334  334.229908995  2.40105530026  0.0600883505692  9.06638576845
0.0  657  351  351.33388525  2.39047056776  0.0618041391493  9.09238673277
0.0  658  369  368.574720722  2.38437486319  0.0373686527309  9.1185359812
0.0  658  386  386.051767526  2.52184158703  0.041465565141  9.14482178735
0.0  658  404  403.644976312  2.5271078829  -0.00756831548909  9.17127294022
0.0  658  421  421.465639039  2.55003644777  0.00377803033925  9.19785739416
0.0  659  439  439.375945452  2.68083583691  -0.0218675116001  9.22461180507
0.0  659  457  457.470536778  2.71544691728  -0.0389273230906  9.25149639154
0.0  659  476  475.756608564  2.90529976483  -0.0357803090028  9.27854999638
0.0  659  494  494.234270474  2.90044112041  0.00646201928928  9.30573300994
0.0  659  513  512.848516368  3.00860813516  0.0125658141871  9.33311018298
0.0  659  532  531.66250046  3.12596974697  0.0398494543515  9.36061445601
0.0  659  551  550.650829721  3.1421838619  0.054546299117  9.38829415438
0.0  659  570  569.85539288  3.35466756223  0.0535059886526  9.41613192493
0.0  659  589  589.287698773  3.54067571409  0.0399321282865  9.44412077948
0.0  659  609  608.87204716  3.68515677273  0.00176343144172  9.47228492235
0.0  659  629  628.671847  3.85398278543  -0.0228707816984  9.50058117645
0.0  658  649  648.741422174  3.97003409568  -0.0332288568224  9.52908447367
0.0  658  669  668.879845224  4.08883289165  -0.0491138307223  9.55770433721
0.0  658  689  689.277367139  4.14966850491  -0.0313197621353  9.58655330267
0.0  658  710  709.780550042  4.32832014652  -0.0322730561457  9.61548879401
0.0  657  731  730.607546825  4.39959081254  -0.00832045107803  9.64467737499
0.0  657  752  752.822264441  0.201055597444  9.92557240577  9.67395146768
0.0  657  773  772.640036084  4.98554031847  0.0229150289007  9.70345189188
0.0  656  794  794.055251505  5.33490213556  0.0396805004666  9.73308412185
0.0  656  816  815.624672416  5.90377401825  0.0389136598659  9.76291476558
0.0  655  838  838.784847854  0.200125650051  10.7061136491  9.7929197838
0.0  654  860  859.595247311  7.53427497986  0.0265500604193  9.82307176939
0.0  654  882  881.904643944  8.42025883527  0.0303275804319  9.85345212306
0.0  653  905  904.61461638  9.30182092327  0.0146052955976  9.88392651603
0.0  652  928  927.529483868  10.2126156043  0.000915931121117  9.9146848532
0.0  651  951  950.758216803  11.237811246  0.00271306919776  9.94546447186
0.0  650  974  974.341007863  12.1077707696  0.00590321325614  9.97662176083
0.0  649  998  997.971240724  12.1255633224  -0.00789459858007  10.0077831653
-1.75012079069  655  9  8.66068449939  1.70231829247  -0.0285816424195  8.5523944618
-1.75012079069  656  23  22.7960987842  1.78088704805  -0.0566901887861  8.57555356442
-1.75012079069  657  37  37.0944410518  1.86156224071  -0.0305323580835  8.59883809823
-1.75012079069  657  52  51.5005742311  1.84036975225  -0.014756049958  8.6222489842
-1.75012079069  658  66  66.0199200168  1.88968181991  -0.0170472017341  8.64579769721
-1.75012079069  659  81  80.6652732467  1.85363894096  -0.0141102583163  8.66946798634
-1.75012079069  659  95  95.4651003426  1.90552531535  0.0088472700877  8.69327018462
-1.75012079069  660  110  110.403989859  1.90611886259  0.046697236893  8.71719447832
-1.75012079069  660  125  125.43390475  1.88782944543  0.0489958837201  8.74126102533
-1.75012079069  661  141  140.60652005  1.88006780891  0.0193833190548  8.76544965206
