# Band 2C   Etalon 1A   Slice 12
# Distortion map version 06.04.00 - date 2018-10-10
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness        wavelength
0.0  677  9  9.09860442131  5.79182875187  0.0230479840614  9.85345212306
0.0  678  25  25.1985676704  6.20418847712  0.00307527270394  9.88392651603
0.0  679  41  41.5218262304  6.37653478553  0.00629762945275  9.9146848532
0.0  680  58  57.8664886319  6.54872873099  -0.0347230308198  9.94546447186
0.0  680  74  74.4520871758  6.65060058437  -0.00542705195304  9.97662176083
0.0  681  91  91.0825172361  6.91506272648  -0.0261941571035  10.0077831653
0.0  682  108  107.852934273  7.01665807969  -0.0201067919223  10.0392307735
0.0  682  125  124.751002335  7.22918886308  -0.013096302921  10.0707842637
0.0  683  142  141.805319349  7.52051224826  -0.000449877092172  10.102519212
0.0  684  159  158.939091128  8.00918756636  0.00424092069996  10.1345415438
0.0  684  176  176.271541888  9.00337289934  0.0229507419834  10.166532512
0.0  685  194  193.629916573  9.52791286093  0.0101992543113  10.1989405749
0.0  685  211  211.253389153  11.2505960596  0.0285815598535  10.2313454729
0.0  686  229  228.919126394  12.8053213095  0.0108219128247  10.2640498053
0.0  686  247  246.729427741  15.114551502  0.00305841549362  10.2968747211
0.0  687  265  264.982230964  18.0667230236  0.0133998675778  10.3299805801
0.0  687  284  283.529105608  22.900007034  -0.0151043338637  10.363045187
0.0  688  303  302.407326111  27.0756881377  -0.0101592364394  10.3963582743
0.0  688  322  322.198358633  30.7276776885  0.0127160637299  10.4300757237
0.0  689  341  342.289253582  0.924434697408  0.0691501408442  10.4635441519
0.0  689  361  361.571950932  29.1251258793  0.0383919904808  10.4977011237
0.0  689  381  380.629619411  23.8901120909  0.00637231005628  10.5315930132
0.0  690  400  399.684312395  20.3264680071  0.00555496371626  10.5655588178
0.0  690  419  419.320545533  20.6321136647  0.0361495213547  10.6001125964
0.0  690  439  438.724135546  17.9276760474  0.0229162364339  10.634602649
0.0  690  458  458.466494715  18.0482620883  0.0398152668175  10.6694720941
0.0  690  478  478.230306372  17.2406240286  0.0344977340121  10.7038116596
0.0  690  498  498.350258065  17.4298194764  0.0392078552257  10.7391859394
0.0  690  518  518.559966851  17.2262144304  0.0405452117521  10.7746298084
0.0  691  539  539.095841309  17.7796591701  0.0229511459228  10.8095561549
0.0  691  560  560.099131819  18.6292845575  0.0245903466701  10.8455927128
0.0  690  581  581.356653886  19.9899714376  0.0313098561354  10.8814795666
0.0  690  602  603.146369056  23.3397077993  0.0465496905057  10.9167579858
0.0  690  625  625.110524254  26.0825262974  0.0267143162344  10.9540712814
0.0  690  648  648.072977207  30.2797317225  0.0212896017039  10.9905026404
0.0  690  672  671.478331178  31.2158577865  0.010490199045  11.0277185253
0.0  689  696  695.183005974  26.9542322285  0.00675737497995  11.0650890446
0.0  689  719  719.570414327  24.9668988342  0.0360275743354  11.1021456555
0.0  689  743  743.076194686  21.5746304513  0.0239187532702  11.1405713667
0.0  688  767  767.030141413  19.0363395338  0.016429059153  11.179080514
0.0  688  791  791.146751438  16.9097199197  0.0165740387895  11.2170984055
0.0  687  815  815.592443187  15.4564807496  0.0207366059136  11.2563450768
0.0  687  840  840.329565084  14.3553377944  0.014178492364  11.2959306511
0.0  686  865  865.318909135  13.888822631  0.0151688745633  11.3354096251
0.0  685  891  890.556330946  12.9837624597  0.00487625929734  11.3752097413
0.0  684  916  916.28443376  12.8403536199  0.0310125332828  11.4157550869
0.0  683  943  942.470213559  12.8805183407  0.00716679938842  11.4564326163
0.0  682  969  968.877655904  12.9332360097  0.0176235661101  11.4973711317
0.0  681  996  995.893538817  12.9222793372  0.026838277764  11.5385807724
-1.73943347956  686  9  9.07854770294  5.76522829115  0.025083589972  9.85345212306
-1.73943347956  687  25  25.1763869083  6.04767965976  0.00162079577796  9.88392651603
-1.73943347956  688  41  41.4511916177  6.33132332638  -0.000549460162998  9.9146848532
-1.73943347956  689  58  57.7545244382  6.63003977215  -0.0299924945032  9.94546447186
-1.73943347956  689  74  74.3245606049  6.62496582124  -0.0109329137902  9.97662176083
-1.73943347956  690  91  90.9711882101  6.86543551265  -0.0273303774899  10.0077831653
-1.73943347956  691  108  107.711854337  7.13167570899  -0.0320239968386  10.0392307735
-1.73943347956  692  125  124.571839334  7.23432147888  -0.0255494729518  10.0707842637
-1.73943347956  692  142  141.654061038  7.60040382264  -0.00342926458414  10.102519212
-1.73943347956  693  159  158.75833964  8.19294643978  0.00417635839364  10.1345415438
-1.73943347956  693  176  176.069874207  8.63645995068  0.0202334306953  10.166532512
