# Band 2C   Etalon 1B   Slice 7
# Distortion map version 06.04.00 - date 2018-10-10
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness
0.0  872  4  3.63913229155  1.89889400985  0.0333941181995
0.0  872  17  17.3674135402  1.78068087721  0.0252243219917
0.0  873  31  31.2668717569  1.77695205469  0.00938023823253
0.0  874  45  45.3133868316  1.75218814126  0.00959175601727
0.0  874  59  59.356482761  1.74810676922  -0.00648221169669
0.0  875  74  73.6282418545  1.7561407651  -0.00135612471469
0.0  876  88  88.0146340445  1.74786904819  -0.0108646651723
0.0  876  102  102.42911817  1.78195037833  -0.0198006015357
0.0  877  117  117.074457037  1.80668470449  -0.0286396461761
0.0  878  132  131.883641167  1.82935740478  0.0497556730313
0.0  878  147  146.689934605  1.80043246317  0.0110232150058
0.0  879  162  161.748833408  1.79286169222  0.0169068051033
0.0  879  177  176.829712276  1.76405671107  -0.00728168705295
0.0  880  192  192.168312267  1.79213353716  -0.000210011749841
0.0  880  208  207.566028476  1.81201032371  0.0261989227937
0.0  881  223  223.164011647  1.79594832196  -0.00374520419521
0.0  881  239  238.818576985  1.77421118283  -0.0159798379234
0.0  882  255  254.736173094  1.73408721555  -0.0101253325986
0.0  882  271  270.712917376  1.70258509021  -0.0124169981006
0.0  883  287  286.938902932  1.74061151354  0.00101570876401
0.0  883  303  303.227622315  1.76388413362  0.0135836307252
0.0  883  320  319.653080027  1.76114146147  0.0159705009437
0.0  884  336  336.331427137  1.78579887276  0.0277853145475
0.0  884  353  353.047329783  1.83987210751  0.00556296922452
0.0  884  370  369.967196743  1.84846440477  0.0114788882645
0.0  885  387  387.104226176  1.8638658583  0.00415739449253
0.0  885  404  404.341915584  1.86594106226  0.00585027110956
0.0  885  422  421.758731272  1.87577668159  0.00535740183245
0.0  885  439  439.360158434  1.89021920267  0.00436058345031
0.0  885  457  457.119089526  1.8955848906  -0.00500294470873
