ypos 	 xpos 	 value 
0 	 73 	 1.0003 
1 	 73 	 0.9849 
2 	 73 	 0.97114 
3 	 73 	 0.95894 
4 	 73 	 0.94821 
5 	 73 	 0.93884 
6 	 73 	 0.93076 
7 	 73 	 0.92386 
8 	 73 	 0.91807 
9 	 73 	 0.91328 
10 	 73 	 0.9094 
11 	 73 	 0.90635 
12 	 73 	 0.90402 
13 	 73 	 0.90234 
14 	 73 	 0.9012 
15 	 73 	 0.90052 
16 	 73 	 0.90019 
17 	 73 	 0.90014 
18 	 73 	 0.90026 
19 	 73 	 0.90047 
20 	 73 	 0.90067 
21 	 73 	 0.90076 
22 	 73 	 0.90069 
23 	 73 	 0.90052 
24 	 73 	 0.90034 
25 	 73 	 0.90025 
26 	 73 	 0.90034 
27 	 73 	 0.90073 
28 	 73 	 0.90149 
29 	 73 	 0.90265 
30 	 73 	 0.90417 
31 	 73 	 0.90602 
32 	 73 	 0.90816 
33 	 73 	 0.91057 
34 	 73 	 0.91321 
35 	 73 	 0.91605 
36 	 73 	 0.91903 
37 	 73 	 0.92209 
38 	 73 	 0.92519 
39 	 73 	 0.92826 
40 	 73 	 0.93125 
41 	 73 	 0.9341 
42 	 73 	 0.9368 
43 	 73 	 0.93946 
44 	 73 	 0.94223 
45 	 73 	 0.94525 
46 	 73 	 0.94865 
47 	 73 	 0.95259 
48 	 73 	 0.95719 
49 	 73 	 0.96249 
50 	 73 	 0.96823 
51 	 73 	 0.97415 
52 	 73 	 0.97996 
53 	 73 	 0.98539 
54 	 74 	 0.99017 
55 	 74 	 0.99401 
56 	 74 	 0.99678 
57 	 74 	 0.9986 
58 	 74 	 0.99962 
59 	 74 	 1.0 
60 	 74 	 0.99989 
61 	 74 	 0.99944 
62 	 74 	 0.99882 
63 	 74 	 0.99815 
64 	 74 	 0.99753 
65 	 74 	 0.99703 
66 	 74 	 0.99676 
67 	 74 	 0.99679 
68 	 74 	 0.99721 
69 	 74 	 0.99811 
70 	 74 	 0.99948 
71 	 74 	 1.00112 
72 	 74 	 1.00279 
73 	 74 	 1.00426 
74 	 74 	 1.00531 
75 	 74 	 1.0057 
76 	 74 	 1.00519 
77 	 74 	 1.00366 
78 	 74 	 1.00128 
79 	 74 	 0.9983 
80 	 74 	 0.99496 
81 	 74 	 0.99151 
82 	 74 	 0.9882 
83 	 74 	 0.98526 
84 	 74 	 0.98289 
85 	 74 	 0.98098 
86 	 74 	 0.97933 
87 	 74 	 0.97777 
88 	 74 	 0.97609 
89 	 74 	 0.97413 
90 	 74 	 0.97168 
91 	 74 	 0.96861 
92 	 74 	 0.96505 
93 	 74 	 0.96125 
94 	 74 	 0.95745 
95 	 74 	 0.95388 
96 	 74 	 0.9508 
97 	 74 	 0.94844 
98 	 74 	 0.94699 
99 	 74 	 0.94626 
100 	 74 	 0.94579 
101 	 74 	 0.94514 
102 	 74 	 0.94388 
103 	 74 	 0.94155 
104 	 74 	 0.93771 
105 	 74 	 0.93197 
106 	 74 	 0.9245 
107 	 74 	 0.91606 
108 	 74 	 0.90746 
109 	 74 	 0.89945 
110 	 74 	 0.89282 
111 	 74 	 0.88835 
112 	 74 	 0.8868 
113 	 74 	 0.88839 
114 	 74 	 0.8925 
115 	 74 	 0.89843 
116 	 74 	 0.9055 
117 	 74 	 0.91301 
118 	 74 	 0.92029 
119 	 74 	 0.92664 
120 	 74 	 0.93167 
121 	 74 	 0.9354 
122 	 74 	 0.93789 
