;MIRI Telescope Simulator (MTS) Long-Wave Pass Filter
;Document Reference # : CDR 00780
;Sample ID	4EM	4EN	4AX	
;Assignment	Flight Item	Flight Item	Test Piece	
;Batch		05476/05477	05476/05477	05476/05477	
;Msrmnt Filenam	4EM_RT_2C	4EN_RT_2C	4AX03522	
;Temperature	297K	297K	35K	
;Angle	0°	0°	0°	
;Mode	T%	T%	T%	
;Polarization	No	No	No	 
;Polarization Angle	n/a	n/a	n/a	


;micron	T1%	T2%	T3%		
5.00	0.0032753	0.002509651	0.031904884		
5.05	0.00373286	0.002195962	0.031298969		
5.10	0.002513078	0.005457012	0.021111688		
5.15	0.00307648	0.0074892	0.020043559
5.20	0.003181609	0.009269635	0.01676615
5.25	0.004252836	0.008778877	0.021139015
5.30	0.006893422	0.007463929	0.02493329
5.35	0.009050514	0.008474457	0.016275128
5.40	0.009878275	0.01093258	0.01868251
5.45	0.00865194	0.010706551	0.025837705
5.50	0.008445379	0.010663076	0.021446029
5.55	0.009335015	0.012656584	0.009457477
5.60	0.014771188	0.013293312	0.014014952
5.65	0.020332445	0.013646921	0.0158733
5.70	0.024018001	0.019482736	0.016351607
5.75	0.031042317	0.028917346	0.023377985
5.80	0.037934881	0.037853379	0.046178956
5.85	0.049150504	0.053590357	0.076802701
5.90	0.078241274	0.07950709	0.075703099
5.95	0.1258284	0.124697566	0.067524403
6.00	0.209235191	0.212391749	0.074621476
6.05	0.369930476	0.381887496	0.090523422
6.10	0.685073495	0.713637531	0.106756106
6.15	1.3659482	1.42955554	0.137214437
6.20	2.84474325	2.98614049	0.19370836
6.25	6.28347635	6.60141659	0.287623733
6.30	14.347682	14.9871407	0.497168392
6.35	31.3950481	32.3109436	0.972882986
6.40	55.978447	56.4079781	1.95534599
6.45	75.8135147	75.0509262	4.06576109
6.50	84.0230103	82.6853333	8.9116993
6.55	85.8504486	84.6635208	19.3483906
6.60	85.326355	84.3389969	37.1143074
6.65	85.4444427	84.5282364	58.6772232
6.70	86.3659363	85.3968353	75.7001114
6.75	87.3114166	86.2615356	82.625946
6.80	87.7821045	86.6407547	84.1936569
6.85	88.1551895	86.9148712	84.1677246
6.90	88.6927185	87.3891602	84.9766998
6.95	88.8822021	87.5539398	85.7941742
7.00	89.1542206	87.7938232	85.9051819
7.05	89.8364868	88.4421768	86.6008301
7.10	90.6604538	89.2081985	87.2842331
7.15	91.4517441	89.9355927	87.54319
7.20	91.9984512	90.4401321	87.9334183
7.25	92.2747574	90.6669235	88.1997299
7.30	92.4432068	90.7779617	88.3073578
7.35	92.7108688	90.9791107	88.9697037
7.40	93.0083923	91.2376099	89.6067352
7.45	93.2692032	91.4833984	89.58918
7.50	93.4653702	91.6636581	89.8083191
7.55	93.5725479	91.7420502	90.1908798
7.60	93.6417236	91.800415	90.1976547
7.65	93.7821121	91.9343796	90.6136169
7.70	94.025856	92.1508789	90.9732285
7.75	94.3045654	92.4016647	91.1580658
7.80	94.592308	92.6536255	91.4670868
7.85	94.8421021	92.8692017	91.7033844
7.90	95.061058	93.0557709	91.8288193
7.95	95.2634659	93.2118988	92.0970459
8.00	95.4634705	93.3527756	92.4660873
8.05	95.6284637	93.4696808	92.8186569
8.10	95.7295456	93.554718	93.0890732
8.15	95.7841644	93.5951233	93.2740707
8.20	95.8065567	93.5923691	93.4280853
8.25	95.7862701	93.557251	93.5203629
8.30	95.7484283	93.5076675	93.5905075
8.35	95.7001038	93.4560242	93.6305161
8.40	95.6360016	93.3951721	93.5919647
8.45	95.5544434	93.3126831	93.5782471
8.50	95.4659119	93.2275009	93.6081924
8.55	95.3658295	93.1345673	93.6120987
8.60	95.2791367	93.0492554	93.6088715
8.65	95.1924973	92.9559631	93.6265793
8.70	95.0940552	92.8544006	93.6708145
8.75	94.9282761	92.6974182	93.6938858
8.80	94.6513977	92.4349289	93.6619492
8.85	94.2705688	92.0556335	93.5806046
8.90	93.9164124	91.6866608	93.4596252
8.95	93.8320999	91.6085358	93.3676834
9.00	93.9904099	91.7793961	93.3054123
9.05	94.129715	91.9187241	93.2381287
9.10	94.1482925	91.9269714	93.1584854
9.15	94.0952148	91.8619385	93.0876083
9.20	94.0320435	91.7960892	93.0163574
9.25	93.9812546	91.7421265	92.950325
9.30	93.9345779	91.6924362	92.8959732
9.35	93.8759766	91.6297379	92.8484421
9.40	93.7988739	91.5467072	92.8262329
9.45	93.6569595	91.4160538	92.8136902
9.50	93.4620285	91.2237473	92.7982101
9.55	93.3087921	91.0644684	92.7729416
9.60	93.2953415	91.0592422	92.7776566
9.65	93.3757858	91.1295776	92.8307419
9.70	93.4362869	91.1737518	92.8820343
9.75	93.4365616	91.1709137	92.8880768
9.80	93.4113235	91.1467819	92.8743515
9.85	93.4007187	91.1226425	92.8857956
9.90	93.4094238	91.1124115	92.9121704
9.95	93.4214706	91.1067047	92.9060745
10.00	93.42659	91.0847931	92.8910828
10.05	93.4179993	91.0628891	92.8796844
10.10	93.4143753	91.0605698	92.8747864
10.15	93.4112167	91.0577545	92.8814926
10.20	93.4092789	91.0499039	92.8658676
10.25	93.4172134	91.0381546	92.8167725
10.30	93.4187546	91.031311	92.7582245
10.35	93.4318924	91.0336456	92.6955338
10.40	93.4635849	91.0493546	92.6924057
10.45	93.4984283	91.0718231	92.7314453
10.50	93.5191193	91.094368	92.7570572
10.55	93.5252533	91.0962524	92.7736816
10.60	93.5287628	91.0893631	92.7514572
10.65	93.494812	91.0629272	92.594574
10.70	93.3870239	90.953331	92.3984451
10.75	93.2864685	90.8445129	92.4953384
10.80	93.31707	90.8601913	92.7196198
10.85	93.4579391	90.9955597	92.7966537
10.90	93.5451279	91.0814896	92.812439
10.95	93.6019745	91.1273117	92.8890533
11.00	93.6765823	91.199646	92.9452744
11.05	93.7411957	91.2559738	92.9653778
11.10	93.7847977	91.2770996	93.0151367
11.15	93.8157272	91.2881165	93.0659943
11.20	93.8250046	91.2967453	93.0864944
11.25	93.8269806	91.2971115	93.117218
11.30	93.844368	91.2901382	93.1453705
11.35	93.838974	91.278244	93.0812988
11.40	93.7968216	91.2419281	92.876442
11.45	93.7135544	91.1330643	92.2970047
11.50	93.4484558	90.8655014	91.2354507
11.55	92.984787	90.4226303	90.7545013
11.60	92.2914276	89.7305145	91.1949997
11.65	91.8689117	89.3074799	91.8263092
11.70	91.882019	89.3120346	92.1798935
11.75	92.2968292	89.6981506	92.349411
11.80	92.7970505	90.1720428	92.5727386
11.85	93.2480621	90.6097412	92.7346039
11.90	93.4942017	90.8438339	92.7501755
11.95	93.6230469	90.9632797	92.8204193
12.00	93.6687622	91.0269928	92.9330063
12.05	93.6715851	91.0484848	92.9556961
12.10	93.6821823	91.0453262	92.9299622
12.15	93.7003632	91.031929	92.8765793
12.20	93.716423	91.030159	92.8106079
12.25	93.7363434	91.0405579	92.7444382
12.30	93.7311859	91.0328827	92.7086182
12.35	93.706604	91.0152817	92.683876
12.40	93.6858826	91.0106201	92.6599884
12.45	93.6682129	91.0037537	92.6884918
12.50	93.652359	90.9895401	92.7185364
12.55	93.627594	90.9652634	92.7252274
12.60	93.591095	90.9283371	92.7886124
12.65	93.5448685	90.8717575	92.9126511
12.70	93.4993439	90.8155441	92.9530716
12.75	93.4478836	90.764801	92.9221725
12.80	93.3932266	90.720726	92.9129868
12.85	93.3217392	90.6852722	92.921669
12.90	93.2562256	90.6573792	92.9019165
12.95	93.2318726	90.6196365	92.8863525
13.00	93.2217407	90.5833969	92.919426
13.05	93.19561	90.5693741	92.9637375
13.10	93.1956787	90.5733871	92.965271
13.15	93.2129822	90.5753708	92.9373245
13.20	93.2047348	90.5464478	92.905426
13.25	93.1646194	90.4869461	92.8684921
13.30	93.0988541	90.4266968	92.8352432
13.35	93.0323563	90.3657608	92.8117065
13.40	92.9879227	90.3287354	92.7821884
13.45	92.9243698	90.3020401	92.7420959
13.50	92.8382111	90.2451859	92.6942596
13.55	92.7555008	90.1639709	92.640686
13.60	92.6941833	90.0930099	92.5489883
13.65	92.6451492	90.0181656	92.3973923
13.70	92.5996857	89.9487	92.2697678
13.75	92.5212555	89.8552399	92.1148605
13.80	92.4427795	89.764267	92.0031052
13.85	92.3754959	89.681282	91.9860382
13.90	92.33535	89.637146	92.0847702
13.95	92.300972	89.608963	92.2147827
14.00	92.2615051	89.5754242	92.197197
14.05	92.2181702	89.5279312	92.0866852
14.10	92.1642532	89.4776764	91.9436874
14.15	92.0937576	89.4163971	91.8062897
14.20	92.0222168	89.3471222	91.7712326
14.25	91.9508209	89.2815704	91.7607498
14.30	91.8707809	89.2094269	91.6047363
14.35	91.7938385	89.1340485	91.4139099
14.40	91.7445526	89.066452	91.3519897
14.45	91.7183609	89.0070419	91.3456879
14.50	91.6968155	88.9802094	91.3069077
14.55	91.6723557	88.9567566	91.3113174
14.60	91.6523132	88.9376297	91.377182
14.65	91.624382	88.9221115	91.4227142
14.70	91.6240082	88.9001007	91.4194412
14.75	91.6382141	88.8749084	91.4228973
14.80	91.6257019	88.8617706	91.4467468
14.85	91.6093445	88.8559341	91.4066467
14.90	91.6567688	88.8819962	91.1700134
14.95	91.7293396	88.927681	91.0498657
15.00	91.710907	88.8878021	91.2357864
15.05	91.6286697	88.8006363	91.3733292
15.10	91.5796051	88.7521973	91.3554611
15.15	91.5839615	88.7403717	91.3327255
15.20	91.5911484	88.7365265	91.3642273
15.25	91.5876923	88.7578812	91.3760376
15.30	91.5851288	88.79776	91.3251266
15.35	91.5919037	88.8164368	91.3227844
15.40	91.6060715	88.8167801	91.3896179
15.45	91.6246338	88.8239365	91.4519119
15.50	91.655777	88.8519135	91.4881592
15.55	91.6944427	88.8741913	91.5089874
15.60	91.7292252	88.8651581	91.5114441
15.65	91.7476654	88.8527756	91.5066986
15.70	91.7595367	88.8516769	91.5153732
15.75	91.7686996	88.8579636	91.5571365
15.80	91.7726135	88.8680344	91.6485062
15.85	91.7774734	88.8768768	91.7641983
15.90	91.7915344	88.8876953	91.8286591
15.95	91.8007889	88.9010162	91.822319
16.00	91.7968674	88.9066162	91.820961
16.05	91.7897873	88.8982315	91.8584747
16.10	91.7968674	88.8808746	91.8634491
16.15	91.8090897	88.8636856	91.8320465
16.20	91.8145752	88.8596191	91.8180161
16.25	91.8094177	88.8621521	91.8750305
16.30	91.7978668	88.8549957	91.9577408
16.35	91.794075	88.8298187	92.0167007
16.40	91.8050766	88.811264	92.0293121
16.45	91.8178024	88.8102875	92.0265961
16.50	91.8220367	88.8337784	92.0110626
16.55	91.8091965	88.8364105	91.96595
16.60	91.7806396	88.8074493	91.875679
16.65	91.7358246	88.7537918	91.7700882
16.70	91.7046967	88.7182999	91.7527008
16.75	91.660141	88.6662064	91.7435074
16.80	91.6092377	88.6000061	91.6087723
16.85	91.5582047	88.5288849	91.3824005
16.90	91.5067215	88.4660873	91.2263336
16.95	91.4653168	88.4282074	91.2700195
17.00	91.4148026	88.3806992	91.3531876
17.05	91.3611069	88.323555	91.3200684
17.10	91.3064499	88.2657013	91.2420883
17.15	91.2283173	88.1760483	91.0956497
17.20	91.1748886	88.1060104	90.9589767
17.25	91.1167297	88.0268936	90.8168564
17.30	91.0582962	87.950882	90.7059708
17.35	91.0057449	87.8892059	90.6196136
17.40	90.9313049	87.8192444	90.549469
17.45	90.8336182	87.7426987	90.469902
17.50	90.7530594	87.6717529	90.328476
17.55	90.67939	87.5829086	90.1131897
17.60	90.6224976	87.5021057	89.9921875
17.65	90.5392075	87.4127579	89.9698486
17.70	90.4641037	87.3426971	89.9668961
17.75	90.3854065	87.2615433	89.8981018
17.80	90.3202286	87.1837234	89.7610397
17.85	90.2443771	87.0954666	89.5773239
17.90	90.1510315	86.9964294	89.3668442
17.95	90.0403824	86.8916855	89.1660156
18.00	89.9239731	86.7940369	89.0224686
18.05	89.8081207	86.7001724	88.9426804
18.10	89.7364349	86.6266403	88.8992233
18.15	89.674469	86.5354996	88.8316422
18.20	89.6172256	86.4544067	88.7602768
18.25	89.5490112	86.3855896	88.7167435
18.30	89.4839478	86.3353653	88.7334976
18.35	89.4342041	86.2960739	88.807312
18.40	89.4046173	86.2637329	88.8786163
18.45	89.3862076	86.2261505	88.9203262
18.50	89.388031	86.2084045	88.9121933
18.55	89.402771	86.2043457	88.8784103
18.60	89.4193497	86.2065735	88.8210449
18.65	89.4257126	86.2033997	88.7495346
18.70	89.4142761	86.2018661	88.7055969
18.75	89.3876724	86.2105331	88.7189941
18.80	89.3662109	86.2199631	88.7580414
18.85	89.359993	86.2147675	88.7750702
18.90	89.3747787	86.1945419	88.6893616
18.95	89.4053421	86.1749954	88.478157
19.00	89.4261169	86.1763229	88.2595291
19.05	89.4200287	86.1881561	88.1662674
19.10	89.3894882	86.1958389	88.1596985
19.15	89.3716202	86.1807861	88.0845261
19.20	89.3591995	86.1412125	87.826149
19.25	89.338974	86.1014404	87.5224762
19.30	89.275177	86.0636673	87.2810516
19.35	89.2070236	86.0392227	87.34552
19.40	89.1539459	86.0108643	87.5620346
19.45	89.1346436	85.9558258	87.8332367
19.50	89.133316	85.9051361	87.9007111
19.55	89.1145554	85.8245392	87.8270187
19.60	89.0721359	85.7723923	87.6929245
19.65	89.0141754	85.7306061	87.5725403
19.70	88.9312515	85.6795197	87.5099487
19.75	88.8785553	85.6412735	87.5057983
19.80	88.8149948	85.5848465	87.4759903
19.85	88.7775574	85.5430756	87.4057693
19.90	88.7069855	85.4528351	87.277359
19.95	88.6475601	85.3726196	87.2440338
20.00	88.5550003	85.2440338	87.2972336
20.05	88.4933319	85.1635895	87.3455658
