;MIRI Telescope Simulator (MTS) Short-Wave Pass Filter
;Document Reference # : CDR 00779					
;Sample ID	6LG	6LP	2H2
;Assignment	Flight Item	Flight Item	Test Piece
;Batch		05482/05483	05482/05483	05482/05483
;Msrmnt Filenam	6LG_RT_1E	6LP_RT_1E	2H203535
;Temperature	297K	297K	35K
;Angle		0°	0°	0°
;Mode	T%	T%	T%
;Polarization	No	No	No
;Polarization Angle	n/a	n/a	n/a


;micron	T1%	T2%	T3%		
5.00	75.74189	75.7264252	76.8754044		
5.05	75.6762543	75.6448288	76.7202606		
5.10	75.6226196	75.5835876	76.5755615		
5.15	75.5833664	75.5384293	76.4370575
5.20	75.6064224	75.5367432	76.2975998
5.25	75.6456146	75.5935287	76.2172318
5.30	75.7067871	75.6807632	76.2025757
5.35	75.8221664	75.7943344	76.1480255
5.40	75.9596024	75.9260178	76.0762939
5.45	76.1274338	76.072998	76.0711517
5.50	76.3161545	76.2471542	76.1891708
5.55	76.5217743	76.4298477	76.1677551
5.60	76.6998291	76.624588	76.0934067
5.65	76.8652344	76.7835541	76.2133942
5.70	77.032608	76.9460983	76.0762939
5.75	77.1784973	77.1300278	75.8568573
5.80	77.3260727	77.2939835	75.2515182
5.85	77.5143967	77.5060349	74.0386429
5.90	77.6844482	77.6826248	74.2192841
5.95	77.7439728	77.7743378	75.4279251
6.00	77.7707367	77.8421249	76.0744095
6.05	77.8338165	77.9425812	76.3718185
6.10	77.9250183	78.03479	76.7030029
6.15	78.0430527	78.1288071	77.2360077
6.20	78.144516	78.0410309	77.7447357
6.25	77.7610626	77.2329712	77.9382935
6.30	76.2442932	75.2168732	77.2278214
6.35	74.2369919	72.6469803	75.9495163
6.40	71.2378616	69.2664261	73.5757599
6.45	69.6483612	67.7334518	70.1945877
6.50	73.1874084	71.7286377	71.5639267
6.55	77.6519775	76.7255249	75.7826996
6.60	79.7067642	79.1151581	77.5262299
6.65	80.771431	80.3987656	78.8376541
6.70	81.4459229	81.1597977	79.6825714
6.75	81.7289734	81.5697708	79.4909668
6.80	81.6699295	81.6338501	78.8085709
6.85	81.4959412	81.3916931	78.5908279
6.90	80.6552963	80.3275528	79.0244293
6.95	79.8028336	79.2724609	78.9418106
7.00	80.481102	80.0327911	78.9089661
7.05	81.7544327	81.4581375	79.8663177
7.10	82.7061844	82.5426712	80.97789
7.15	83.4839096	83.4610519	81.9720535
7.20	83.9481506	84.0226212	82.808609
7.25	84.2503586	84.3444519	83.0103226
7.30	84.4238968	84.4258041	82.6133041
7.35	84.8157959	84.6909256	83.1115112
7.40	85.4394684	85.2854233	84.1932373
7.45	85.9955597	85.8894577	84.8246918
7.50	86.4678726	86.4071121	85.3743515
7.55	86.8208313	86.7980576	85.8059387
7.60	87.0495911	87.0480881	86.0286789
7.65	87.2788773	87.270607	86.5617294
7.70	87.5380173	87.5111465	86.9990692
7.75	87.7952881	87.7687149	87.1274185
7.80	88.0634155	88.0310745	87.2021942
7.85	88.2831497	88.2412872	87.2210541
7.90	88.4725418	88.4313507	86.8618393
7.95	88.669014	88.6229324	86.897583
8.00	88.877388	88.8184128	87.5954437
8.05	89.0773621	89.0091095	87.8497696
8.10	89.2643204	89.1982574	88.0877533
8.15	89.4168396	89.3594894	88.6541901
8.20	89.5682449	89.5228577	89.2285004
8.25	89.7242432	89.6801834	89.5784531
8.30	89.8724976	89.8355942	89.8343658
8.35	90.0152664	89.9879227	90.2402039
8.40	90.1506042	90.117218	90.4799042
8.45	90.2838593	90.246582	90.560997
8.50	90.3778	90.3485413	90.5878372
8.55	90.4530258	90.4215698	90.5506439
8.60	90.5195007	90.4928894	90.5472183
8.65	90.5802078	90.5866776	90.6637115
8.70	90.6352692	90.648262	90.8323288
8.75	90.688385	90.6852341	90.9673767
8.80	90.7322693	90.7013397	91.009491
8.85	90.7439957	90.6701736	90.9699249
8.90	90.745575	90.6281509	90.922493
8.95	90.7905502	90.6677628	90.9019547
9.00	90.8392105	90.762352	90.8651657
9.05	90.8597183	90.8293152	90.6464767
9.10	90.8788986	90.8709335	90.1657715
9.15	90.8936081	90.8787308	89.9145432
9.20	90.8929672	90.878273	89.8963165
9.25	90.8620605	90.8727188	89.8284454
9.30	90.8370743	90.8658829	89.7549896
9.35	90.8216324	90.8446121	89.7153091
9.40	90.7651978	90.7645874	89.8544083
9.45	90.6894608	90.6471634	90.2544708
9.50	90.7028275	90.6173401	90.8041916
9.55	90.7955246	90.7064133	91.3337326
9.60	90.8626175	90.8065643	91.7487869
9.65	90.873085	90.8411484	92.0551453
9.70	90.8227005	90.8034821	92.2633667
9.75	90.7200699	90.6778336	92.3879547
9.80	90.6199341	90.5420151	92.4481812
9.85	90.5629196	90.4723663	92.4918976
9.90	90.6194305	90.5427246	92.5260773
9.95	90.7472076	90.7226257	92.5625
10.00	90.8252869	90.8590164	92.5911636
10.05	90.8621521	90.9266129	92.5971222
10.10	90.8853836	90.9291458	92.5931931
10.15	90.8790436	90.8966675	92.5871124
10.20	90.8430786	90.8577194	92.5640488
10.25	90.7986984	90.8113251	92.4897461
10.30	90.734848	90.7603531	92.3709259
10.35	90.6466064	90.695137	92.2228699
10.40	90.5798035	90.6236343	92.1288376
10.45	90.5213852	90.5596695	92.0952911
10.50	90.455574	90.4944534	92.047287
10.55	90.3728104	90.4118958	91.9654083
10.60	90.2682419	90.3077011	91.8622894
10.65	90.1612625	90.1933365	91.7432175
10.70	90.0075531	90.0226288	91.5744019
10.75	89.8432922	89.8563309	91.4185944
10.80	89.7200165	89.7486115	91.3001709
10.85	89.6466293	89.7104263	91.2091675
10.90	89.6011581	89.7018051	91.125473
10.95	89.5536423	89.6591644	90.9971771
11.00	89.4931335	89.5718842	90.8210449
11.05	89.4049911	89.4727249	90.6921082
11.10	89.2870331	89.367775	90.6018982
11.15	89.1904907	89.2670517	90.4625092
11.20	89.0814896	89.1671219	90.3049164
11.25	88.9620667	89.0639038	90.1767349
11.30	88.8666534	88.9583206	90.0622559
11.35	88.7562637	88.8508072	89.9416351
11.40	88.6699066	88.7651749	89.833107
11.45	88.6062927	88.6805573	89.7167435
11.50	88.5461578	88.5830002	89.5696182
11.55	88.4687195	88.5094299	89.4091263
11.60	88.3519974	88.417038	89.1865768
11.65	88.2172775	88.2984467	89.0411758
11.70	88.0490189	88.1531372	88.9967728
11.75	87.9402313	88.0294113	88.9970551
11.80	87.8607178	87.9421539	88.9601135
11.85	87.7318192	87.8553467	88.8740692
11.90	87.5857697	87.7698517	88.7636032
11.95	87.5022202	87.6819	88.6448135
12.00	87.4745102	87.5799179	88.5260391
12.05	87.409256	87.4669571	88.3273163
12.10	87.2789764	87.3634338	88.0029144
12.15	87.1241074	87.255455	87.6156311
12.20	87.0394363	87.164566	87.2876816
12.25	86.9979935	87.0916748	86.8862152
12.30	86.9331436	87.0104828	86.4374847
12.35	86.8207397	86.9104156	86.1897659
12.40	86.6921539	86.8010788	86.2327957
12.45	86.5754929	86.6892624	86.6622772
12.50	86.4837799	86.6019669	87.032402
12.55	86.3669357	86.4975967	87.207695
12.60	86.2799301	86.3713989	87.2872391
12.65	86.1881638	86.2333069	87.3866425
12.70	86.0721817	86.1177444	87.4311447
12.75	85.9530563	85.9882278	87.4195557
12.80	85.8338318	85.8571701	87.3736649
12.85	85.6712646	85.7188721	87.2916336
12.90	85.5165405	85.5717163	87.2077408
12.95	85.3951645	85.4093628	87.1467056
13.00	85.2639694	85.2535782	87.0951157
13.05	85.1594467	85.1488495	87.0290833
13.10	85.115921	85.1117859	86.906456
13.15	85.0699615	85.089325	86.7466125
13.20	84.9669189	85.012825	86.5928421
13.25	84.8169327	84.9044266	86.501976
13.30	84.6572189	84.7727356	86.4300308
13.35	84.5483246	84.6301575	86.3697205
13.40	84.4702988	84.5275803	86.310791
13.45	84.3571014	84.4229202	86.2187958
13.50	84.2323837	84.3068619	86.0931549
13.55	84.1209183	84.1947861	85.9524841
13.60	84.0196152	84.0864944	85.7636795
13.65	83.882576	83.9511414	85.5016327
13.70	83.7558594	83.8347855	85.353714
13.75	83.6048126	83.6794586	85.2102203
13.80	83.4427719	83.5176849	85.0421906
13.85	83.2723999	83.3528137	84.9495773
13.90	83.1375122	83.2196655	85.0507278
13.95	82.9979401	83.0799713	85.2048035
14.00	82.8560944	82.9387436	85.1614838
14.05	82.6826172	82.7722092	84.991478
14.10	82.5248184	82.5994034	84.7817841
14.15	82.4010391	82.4403076	84.6053696
14.20	82.2639542	82.2889633	84.5285416
