# Quantum efficiencies of FM detectors provided by Mike Ressler (16/9/2011).
# See file qe_summary.pdf for details.
# Wavelength FPM106_UNC  FPM106_COA  FPM105_UNC FPM105_COA  FPM104_UNC  FPM104_COA
 2.00        0.258  	 0.363       0.192 	0.271       0.258  	0.306
 2.50        0.265  	 0.290	     0.190 	0.207	    0.265  	0.363
 3.00        0.267  	 0.268	     0.191 	0.191	    0.267  	0.286
 3.50        0.282  	 0.301	     0.206 	0.220	    0.282  	0.392
 4.00        0.306  	 0.363	     0.227 	0.270	    0.306  	0.322
 4.50        0.323  	 0.418	     0.258 	0.334	    0.323  	0.333
 5.00        0.330  	 0.451	     0.283 	0.387	    0.330  	0.405
 5.50        0.351  	 0.493	     0.323 	0.454	    0.351  	0.491
 5.50        0.359  	 0.504	     0.332 	0.467	    0.359  	0.501
 6.00        0.393  	 0.555	     0.355 	0.501	    0.393  	0.542
 6.50        0.428  	 0.599	     0.408 	0.572	    0.428  	0.536
 7.00        0.424  	 0.585	     0.411 	0.567	    0.424  	0.480
 7.50        0.431  	 0.583	     0.439 	0.594	    0.431  	0.454
 8.00        0.470  	 0.623	     0.462 	0.613	    0.470  	0.476
 8.50        0.487  	 0.633	     0.481 	0.624	    0.487  	0.487
 9.00        0.493  	 0.628	     0.485 	0.618	    0.493  	0.497
 9.50        0.482  	 0.602	     0.481 	0.602	    0.482  	0.496
10.00        0.497  	 0.612	     0.497 	0.611	    0.497  	0.528
10.50        0.490  	 0.593	     0.523 	0.633	    0.490  	0.539
11.00        0.478  	 0.571	     0.490 	0.585	    0.478  	0.545
11.50        0.469  	 0.554	     0.488 	0.576	    0.469  	0.555
12.00        0.470  	 0.548	     0.487 	0.568	    0.470  	0.574
12.50        0.476  	 0.550	     0.479 	0.553	    0.476  	0.600
13.00        0.466  	 0.533	     0.509 	0.582	    0.466  	0.604
13.50        0.451  	 0.511	     0.493 	0.559	    0.451  	0.597
14.00        0.481  	 0.541	     0.516 	0.580	    0.481  	0.650
14.50        0.529  	 0.591	     0.570 	0.636	    0.529  	0.725
15.00        0.518  	 0.575	     0.588 	0.652	    0.518  	0.719
15.50        0.504  	 0.555	     0.563 	0.620	    0.504  	0.705
16.00        0.477  	 0.523	     0.532 	0.583	    0.477  	0.672
16.50        0.489  	 0.534	     0.571 	0.622	    0.489  	0.691
17.00        0.511  	 0.554	     0.579 	0.629	    0.511  	0.722
17.50        0.487  	 0.526	     0.587 	0.635	    0.487  	0.688
18.00        0.456  	 0.491	     0.556 	0.599	    0.456  	0.643
18.50        0.453  	 0.486	     0.567 	0.608	    0.453  	0.637
19.00        0.433  	 0.462	     0.546 	0.583	    0.433  	0.605
19.50        0.433  	 0.461	     0.540 	0.575	    0.433  	0.602
20.00        0.408  	 0.433	     0.553 	0.587	    0.408  	0.564
20.50        0.419  	 0.444	     0.546 	0.578	    0.419  	0.576
21.00        0.425  	 0.449	     0.520 	0.550	    0.425  	0.581
21.50        0.445  	 0.469	     0.554 	0.584	    0.445  	0.603
22.00        0.438  	 0.460	     0.566 	0.595	    0.438  	0.590
22.50        0.436  	 0.457	     0.558 	0.586	    0.436  	0.583
23.00        0.422  	 0.442	     0.540 	0.566	    0.422  	0.560
23.50        0.400  	 0.418	     0.514 	0.537	    0.400  	0.527
24.00        0.393  	 0.410	     0.528 	0.551	    0.393  	0.514
24.50        0.364  	 0.379	     0.482 	0.502	    0.364  	0.473
25.00        0.327  	 0.340	     0.428 	0.445	    0.327  	0.422
25.50        0.291  	 0.302	     0.392 	0.407	    0.291  	0.373
26.00        0.255  	 0.264	     0.329 	0.341	    0.255  	0.325
26.50        0.212  	 0.219	     0.273 	0.283	    0.212  	0.268
27.00        0.150  	 0.155	     0.197 	0.204	    0.150  	0.189
27.50        0.110  	 0.113	     0.144 	0.149	    0.110  	0.137
28.00        0.068  	 0.070	     0.080 	0.082	    0.068  	0.084
28.50        0.049  	 0.050	     0.038 	0.039	    0.049  	0.060
29.00        0.035  	 0.036	     0.037 	0.038	    0.035  	0.043
29.50        0.023  	 0.024	     0.020 	0.020	    0.023  	0.028
30.00        0.015  	 0.015	     0.011 	0.012	    0.015  	0.018
